Artist,Song,Translated_Lyrics
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ՓՈՔՐԻԿ ՔԱՂԱՔ,"The song is my missed in me awakened

The song is my bird out of the wings

That should fly away

But it should be back to you always



When I am far away from you

Your mysterious longing is torturing

My little town

You are calling you



When I am alone or sad

I am arguing with you trouble with you

You become caring

You say forget and smile



Wake up in the sunshine

Laughs in the sunshine

My little town

You live your life



All my songs

My longing and my love

Are born of your tender nights

And in your mornings are quietly



My City My Little City

I sing your song



The song is my bird out of the wings

That should fly away

But it should be back to you always"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԱՐՏԱԳԱՂԹ,"My friends leave

And that's why it's more

Invite us to forget

FREE LATEST DAY



My friends are leaving

So secretly so secretly

As if from the deceased

Stored treasures are stealing



My friends leave

That never come back

Their faces disappear

Their faces are no longer already



Their voices are still sounding

In brighthood colors of childhood

They seem to call me

Endless on the ways



My friends leave

How to birds?

With time is dumbing

The pain that they are not



The pain that has been this this way

And it will definitely be

That the homeland is a dream

Pstik section of space"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՌԵՔՎԻԵՄ,"Now it's late autumn

Aging is a dog

Wandering in the damp and cold park



Rusty carousel

Which is already tired

Me to remind me of my childhood



Happy laughter

It's a smiling already

Pokeless sound in my throat

Lasted bird in the dark sky



An old virtue with smoked

Looked at my eyes

That I saw me in a mirror suddenly

How Much Changed This Life Cursed



I have tasted a dirty this life

To live like you homeless homeless

We are brothers in the autumn sun

We warm us the same



Now it's late autumn

I still remember you

My crazy tion



Now it's late autumn

I still remember you

To you my early happiness



When love was ours

When he was our owner

When the city belonged to us

Our city belonged to us



Hey old tready stand

Stand by me and don't leave

You are I look to find a corner

I will tell you my life homeless



And I like to live my life

Abandoned and dark in this city

WHERE ARE ME AND THEY WERE

Where my songs are still singing



I don't know what I have

I'm holding in this city

Where I have lived and the dream

I'm still singing my tongue



Now it's late autumn

I still remember you

To you my early happiness



When love was ours

When he was our owner

When the city belonged to us

Our city belonged to us



Hey old tready stand

Stand by me and don't leave

You are I look to find a corner

I will tell you my life homeless



And this city is still waiting

My lost children

In agony as if he sees

Their arrival late



That your children have left you

Will come someday suddenly

Because life in stranger

It is undoubtedly undoubtedly



Now it's late autumn

I still remember you

To you my early happiness"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,"ԵՍ ՍՊԱՍՈՒՄ ԵՄ ՔԵԶ, ՀԱՅՐԻԿ","Your gifts for this year

Dark and cold are my little

This year's stray bombs

You have become a toy



And this game is the war

That large people play

And at the end of the game is your scream

I'm waiting for you Dad



Oh this What Santa Claus is

That in your home is

This miserable old beggar

See what brought you



Oh this What Santa Claus is

That in your home is

This miserable wanderer

Gifts have brought you



And the gift he brought

Death Ghaz and Tears

Are dead people under the ground

And bee to you babes



Under the ground are our brothers

And siblings our sleep

And our lives on the ground

It's cursed



Oh this is what a long winter

Do you see when it comes to

When will spring open again

Your dad will come home



Your daddy my little

Definitely a day will come

Your father Anushik

Will make you wk



And if you suddenly a little

Your daddy is late

You remember her pstics

He will not leave you



And cruel these winters

You will forget too early

When will spring open again

You will grow up too early



You shut your eyes

But don't forget him

And my daddy my little

Will definitely come to you



Your Daddy has come

On the shoulders green mountains

Your Daddy has come

Soles in the eyes



That's his strong hands

Raises you upward

Your dad is exactly Spring

That came to you a gift"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՆԿԱՐ,"This picture is my home

And my yellow garden

Everything here is the same

At the moment of the dawn

The forest is still sleeping

But wake up again

And my childhood meme

And my sleeping garden



Morning transparent morning

Help me forget my worries

Help me in your arms



The clouds have collapsed in the spring

It's as if frozen in your forced deep

The clouds tremble from cold

And cradle on the blue distance

And they are talking about the blue distance

Morning



My house is a desk

The ceiling is dusted

THERE IS A CHILD'S TIME MY

Froze left

The thin shovel of the sun searched for me

Has Ralted Reversan from Me left



This picture is my home

And my yellow garden

Everything here is the same

At the moment of the dawn

Everything is in its place

Nothing has changed

Everything here is the same

Only I left"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՈՐ ՍԱՐԵՐԸ ՉՄՆԱՆ ԱՆՏԵՐ,"The tulips opened in the mountains

A fire in the mountains is real

The best guys leave

That never never come back



When will spring doors open again

And the bay of the brides of the major

The names of forever will be remembered

Guys who are no already



That blood is your fighting boys

To paint the mountains in its red color

What life did you give us a gift?

That the mountains do not remain our homeless

That the mountains do not remain our homeless



I know and this is authenticity

Your oath is the price of your blood

Courage of new born

Will contact you surely



That blood is your fighting boys

To paint the mountains in its red color

What life did you give us a gift?

That the mountains do not remain our homeless

That the mountains do not remain our homeless



And the bombs exploded there

And those who are no longer

Returned our history

Red letters in their blood



And the bombs exploded there

And those who are no longer

Returned our history

History of our Aryan



And where there is a big silence

Where there are no quarrels party

We will say the ARF Dashnaktsutyun

ARMENIAN CLASSIFICATION



That blood is your fighting boys

To paint the mountains in its red color

What life did you give us a gift?

That the mountains do not remain our homeless

That the mountains do not remain our homeless"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԾԱՂԿԱԾ ԽՆՁՈՐԵՆԻ,"They left the guys and Kora were left

The bomb blast is moving the mountains

The red tulips painted the fields

As if our blood flows from the mountains



The guys left the fog

No one remembers the way back

And your brothers mothers and sisters

Your loved ones are still waiting for you



And you are bending with the wind in the shoror

I speak with the wind to the wind

You my apple sister graceful

The groom's spring is not grown where



The guys left the fog

No one remembers the way back

And your brothers mothers and sisters

Your loved ones are still waiting for you



And you are bending with the wind in the shoror

White Bride Holding Wind

My sister of flowering apple graceful

The groom's spring is not grown where



The guys left the fog

No one remembers the way back

And your brothers mothers and sisters

Your loved ones are still waiting for you"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՍԱՐԵՐԻ ՔԱՄԻ,"Where do you come from the winds?

And where are you in a hurry?

Restless and sad

My mountain wind



The winds of the mountains whisper something

And is lost away

Restless and sad

The wind of my mountains



I come from many of the farthest

Destroyed from your homeland

That I take your longing to the mountains

Which you left the river on the shore



Wait for the wind and listen to me what I say

Little calm down and listen to me what I say

That you take my words to the mountains

Which we have left the river on the shore



How many children in our monasteries do babies?

Like sunshine with big and fiery eyed

How many in our eyes has not yet faded longing

Longing is what we look at afar



So we'll come to your arms one day yet

Mountains waiting for us"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՇԱԲԱԹՎԱ ՕՐԵՐԸ,"There are frozen chickens in the showcase

Moving moving mounds on the sidewalk

Hastly Monday Chicken Local Meat

The days turned headed soon a month



Again Monday Heatlessly Slotless

Hands will find out on Tuesday

Will copy again from drunk Sunday

Empty and lazy from that unbroken



Darfish will always do with a restrained calm head

And he will prompt a Thursday to Friday

What good are you and unattended?

What reliable is your morning



And Sunday doesn't know what to do again

How will all weeks surprise

A little bit of the street came after the street

And cursed all these days



Drunk in a restaurant he fought

Searched and found himself suited to one

Found him in the morning

Nervously nervous Monday



There are frozen chickens in the showcase

A frozen crowd on the sidewalk

It's as if this is a dream that will not end

So will prolong and become life



And life will become hasty

And on Sunday drunk and restrained dry side

Turn off the calendar down

Days headless days headless

Days beheaded the headless days"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՇՈԳ ԿԻՐԱԿԻ,"From the faces of people walking down the street

Boredom sticks and poked

Walking carcasses and hot Sunday

It's not a month to rain

The heat does not give unbearable rest

Street melts and swims

I already like me for a month

I don't know tomorrow I may not be

Maybe I'll invent my last song

My hot Sunday I'm yours now

And I will never be separated from you

And from the calendar will be penetrated again

A hot sunday consuming Sunday

Unturned and unaware of empty Sunday

A hot Sunday and a large coffin

They take people over the street long

And their tired and thumb face

Flies clinging and poked

Flies clinging and poked

O Poor slowly lying in a coffin

You too I have been suffering from the heat like me

Whereas your soul like my soul

Looking for rain on foreign shores

Looking for rain on foreign shores

We're Rain on My Heat Sunday

A soul lying in the coffin

WE ARE PROVIDING TO BE

My hot Sunday I'm yours forever

And I will never be separated from you

And from the calendar will be penetrated again

A hot Sunday"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՐԻԿՈՒՆ,"Day ran

Here is the evening

Spread

His old fashioned clothes

That the patch memories

Long-old

Adventures



Sunset burning sun

The sun and I

We are looking for you together

We are looking for you



Sun and I at sunset

We are looking for

We are looking for you

Grievance

My good evening

What a secret is your dark

In your blue glance



You are and I

You are still in my memories

Listen

Our love lived his life

But his reaction

Up to now

There is my heart



Outcomes a good witch

You look at the look at me unclea

Tell me my good evening

What a secret is in your dark look"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ՏԽՈՒՐ ՍԱՏԱՆԱ,"Look

Beyond the window

The leaves

Dance like crazy

That fall crazy wind is

Drunk



In my cold room

There is no one now

Only you are with me

My sad devil

And no one today

We don't hurt us



You are my kind psychotic

I'm not afraid of you

You are as always on my side

When I am alone



We

Let's go down down now

We will walk in

On the rain street

Shall we get to people

Smoking cafe



The noise never

We didn't stop us from

We are always in silence

To share with each other

My sad devil

My sad devil



You are my kind psychotic

I'm not afraid of you

You are as always on my side

When I am alone



And already at midnight

When I will bring home my corpse

You merrna me my dead

And wake everyone



You are my kind psychotic

I'm not afraid of you

You are as always on my side

When I am alone"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԿՐԿՆՎՈՂ ՊԱՏՄՈՒԹՅՈՒՆ,"You came to me again

Repeated story

My doors are open to you always in front of you

Fate My bitterness



You smile at my threshold

Please tame in.

I'm even happy to come to your

Please don't doubt



I knew that you would not like to wait

My doors are open

I'm sorry only on the table I have set wine

Which you drink with me to the end



And when will I just say

My eyes will be processed

I will keep my lipters.

And the dagger in your hand

During the kiss

My heart will be smart



Well Don't Wait

See I stand ready

Let not your hand go down

Your new wound in my heart

A new song will become

Believe believe



You came to me again

Repeated story

I'm waiting for you for a long time

Fate My bitterness



Well Don't Wait

See I stand ready

Let not your hand go down

Your new wound in my heart

A new song will become

Believe believe"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՍԱՐԴՈՍՏԱՅՆ,"Evening in the rooms of the room

Overturned shadows on line

There is a reaction of the removal steps

Empty street



One heard they don't

Is where are they going?

We are all guests uninstalled

In this empty world



In the room where I live

There are other odd beings

But they never hurt

Never hurt me to live



There is a mouse that sugar does

And it has a family

And the cat that falls in love

And escapes the roof



There is a spider that loves to hang

From a dusty ceiling

And it's on one thing to talk to me

Tormentation



Evening from my memoirs

The web is to operate

I am with the spider from my ceiling

I have decided to hang



I have decided to hang up right now

Without a serious reason

Wrap my tackles threads

And whirled fierce



Whether we all guests are uninstallous

And orphans single

Why do we persecute each other?

And for biting



Evening Memory Street

My past is silent leave

And from his departure steps

I'm left alone



My mouse has already woken up

Looking for food

My cat is bored of me

Is sleeping on the roof



Time looking at me like a spider

From the dark corner

I'm requesting forgiveness of my sins

Don't know from whom



My Memory Breaking Mirror

Coldness is blowing

A face unknown out of there

It looks at me down



I'm screaming curly

What are you doing there?

She looks already

And I see me



Evening in my little room

A butterfly is endlessly spinning

And to him my room small

It looks like an endless spider"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՕՐԵՐԸ ՇԱՐԱՆ-ՇԱՐԱՆ,
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՆՁ ՄԻ ՓՆՏՐԻՐ ՈՍՏԻԿԱՆ,"Don't look for me a tab of my window

Here I am or my ghost



An inotle eye is watching me in my house

Is this a miracle? This is my home or dungeon



You tell me at least you give the answer

Whose house is this apartment?



There was a city in the city closed at his home

He lived himself or his ghost



Was silent whether he was talking about the ghost

Whose job is that?



There was his door looted

And the document that he lives in that house



If a day visit me a police officer

He will receive his ghost silently



Will understand the lawsurer of the Law

In which house no one is living in this house



Kahagang he's his leadership

In which house no one is living in this house



I will be able to serve me my neighbor

That he saw me at night



The bushing will be drowned in the wine

Missing will record my ending



If one day visit you in my house

Maybe and give you my ghost



Don't be surprised?

Whose one of us is from us?



Don't look for me a policeman

I'm not for you

You however you look for

The ghost will be held"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԵՍ ԻՐԱՎՈՒՆՔ ՉՈՒՆԵՄ,"I do not have the right to live a very vague

After all, it will be a babysitter or a man strange

I do not have the right to drink a lot of wine

For Me Kambaster men virtuous

I do not have the right to love something one

As I have a woman already in law

My friends and my enemies will tell me

Or did I have become a man in the end?

I don't even have the right to happiness

Will it refuel themselves for a fortune

And that's why I have no right

I even live in my house as I live in prison

And secretly in a corner of my house

I will write songs that I call life"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՇՆԵՐԸ,"I know who owners are

Whose hands do these dogs eat

I know

And although the owners are always full

But the dogs are furious

and now

I don't bark on my dogs right now

Have been delayed for a bit of their food

detach

Feed not you are the owners

That suddenly don't eat us dogs

Feed

Enjoy your delicious pieces

Balance to eat let dogs

that they are silent

Otherwise fear visits the night

When the dogs are furious

Be careful

Close a very tightly your doors

Let the poets stay on the street

and people

Whom owners are the same

AND SPECIAL EXPERIENCED DOGS

same"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԳԱԶԱՆԱՆՈՑ,"Even a giraffe is a strange song

But it's not a song in the box

How much unregistered songs are there in closed boxes

How many songs that will never be heard



When the song becomes frightened beast

And in the locked box bars are struck

The song becomes a wounded moon

The song is going to fly



The song is silent and sleeping

Comes the moment he explodes



The night was quietly asleep at the hippopotamus

And his thick body was real

Miserable clown of crazy crowd

The lion was a former cuddle



And only the wolf was in a troubled box

The wolf rubbed on the constant cray

Gave him meat but he didn't take the meat

She thrusted him meat. But he did not fire



The wolf remembered the steppe of his prose

And the wolf was crazy alone



And it was heard the shot and the howling was silent

And Moon gave his silver to his singer

Red blood pond in the moon silver

Was dying the wolf in the box alone



The wolf died the smile on the face

Now he was free and running again

The steppe appeared in the eye

Was running from the side to the grayishwolf



When the song becomes frightened beast

And in the locked box bars are struck

The song becomes a wounded moon

The song is going to fly"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԵԶԸ,"Forget you are their sermons all

The sermons were filled with them.

Forget you all their prayers

Believe in yourself



Once believe in your God

Believe your soul believe in yourself

And burn the bridges back to you

And burn the bridges back to you



From your birthday you have been cheated on a bull

Fill your head with fog of stupidity to my bull

You have stated you a bull

That before you end your life like a slave



Be a meek bar

And run this endless bruner

When you go down the evening you quietly go barn

ToothE the grass

Before the morning will open



This unfortunate animal tired of laws

Fear of death in the eyes of the eyes lives

Oh the world you gave birth to this human herd

That multiplying with a vavarky stupid now



Laws have closed doors to all

The roads have become bright abysses

And the lights buried there

Light dreams all



Love nice forgetful visit to us often

Visit us often

We know the ways to all

Leading to death"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՀԻՆ ԸՆԿԵՐ,"We left our old days away

New times are approaching

Where are you lost my friend?

Where are you lost my old friend?



Old friend my priceless friend

Whero u got lost

Old friend my priceless friend

Can't find you



What witch is to enchant you?

What trap you fell

Old friend my priceless friend

I can save you



The old and gray days left

Approached bright times

Changed the old owners

They came to them new owners



The new owners are still a party

The new owners have not been satisfied yet

An inbetween the old owners is an impurly surprise

Or how much did the new ones have been linked?



Old friend my priceless friend

Did you stay the same?

I lose weight or filled

And have the backstop



Old friend my priceless friend

Position you have not been given yet

You my good my priceless friend

The new owners did not buy



This world is the same with my friend

Don't try to suddenly change him

Changed the old owners

New plays old roles



And our new and strict owners

We are trying to intimidate us again

We say their ownership

We have seen death for ourselves



Old friend my priceless friend

Did you stay the same?

Who did you share bread with?

And with whom became friends with



Old friend my priceless friend

You didn't change your color

You my good my priceless friend

The new owners are not



We are pressing new times

Like iron ribilities

Till the end Stretch your belts

Have to endure and resist



And our indifferent and thumb faces

Have become already dark masks

We are taking the load at

Which we cannot not tolerate



Old friend my priceless friend

Did you stay the same?

Who did you share bread with?

And with whom became friends with



Old friend my priceless friend

You didn't change your color

You my good my priceless friend

The new owners did not eat"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՆԱԽԱԳԱՀԱԿԱՆ ԸՆՏՐՈՒԹՅՈՒՆՆԵՐ,"Police in heaven

Police with beggars

BREAKFAST POLITICS

And ghosts of eating



Many mouths in advancing

As if countless fish thrown

Teits warring hands

Who invented all this?



This is what a puzzle this is quick

No vote no reply

This is what a puzzle this is quick

Who is the Lord God who the devil



Abdominal and thumb faces

And uncountable empty abdomins

Morald's decline in decline

And categories standing on the edge of the fall



Guilt

Certified Cederated Saints

Wasted and blown and false virgins

Disappointed hopes for virgins



This is a party or this is a boz

Say voiceless wisks

Where is the headland?

Which has folds on a step



Heartfolded heart

And the apostles of the Civil

Patent widows in the parliament

And sites like that



Intellectual criminals

Semi-stemakan police

Tsumar sitting lecturers

And LISTEN WORKS



And the order of the guys in whom the weapon is in

They brighten the night with death

And the scarf of the nation is our nation's gross

Loot the nation and defiling



Presidential elections

AND PRESIDENTIAL PRESIDENTS

Half-lying

Who has all this stage?



Generous large writers

Writer generals

Generous ministers

And different things like



Who is sitting above the owners of it?

No vote no reply

What is the real owner and the Lord?

This Anteruduction Antordies"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՓՈՔՐԻԿ ԻՇԽԱՆ,"Snow White blanket

The soil is hot so hot

How to breathe my baby?

In sleep in the morning



In sleep in the morning

There is a moment of eternity

My little my dream

Angels are visiting



He smiles in sleep

When the dream is cradle

But the dream has an end

When which day wakes



When which day wakes

Where does it take us?

Is it a dream that a dream?

That we see every day



The muddy river worries

Takes us to down

Give me your hand friend

We have to help each other



Darkness is dark on our way

Nothing is visible

The words have done one

Lord God and Satan



You are still very cut

They will be frowned and will go

Then or will bump

Or will be strong



But no matter how much

Tribly and a ran

You won't be a scoundrel

Little Prince of Childhood



Miracles don't die

They are and will stay

Is there a faith in your heart

And there is love for the impersonal



Miracles will stay

For there is a little prince

That loves the universe

And the world of this cruel



Don't leave me to stay with me

Little Prince of Childhood

We have to go together

The way to test



Darkness is dark on our way

Nothing is visible

The words have done one

Lord God and Satan



Snow White blanket

The soil is hot so hot

How to breathe my baby?

In sleep in the morning



In sleep in the morning

Whenever the dew of the morning

Pearls sprinkle

I'm afraid my dear



Darkness is dark on our way

Nothing is visible

The words have done one

Lord God and Satan"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԹԵ ԻՆՉՈՒ ԵՆ ՊՈԵՏՆԵՐԸ ԵՎ ՇՆԵՐԸ ԸՆԿԵՐՆԵՐ,"Me and Moon together

We approached the frozen water

And at two o'clock at night

We sang this song about



Why the poets are

And dogs friends

Because they at night

LOVE LIGHT SONGS



That our lives are distorting

Daytocks unreal

We find the nights

Our faces are real



Dark clouds Do not close the moon face

Allow the conversation to finish

I moon the dog and the puddle

We haven't met each other for a long time



The dog was standing by my side

The punch approached the pope

He saw the round moon there

And said empty of that plate



That his father was tribal

Mother of an unknown race dog

Their connection was not legal

And an orphaned homeless was born



That endlessly this fuck

For a piece of bread

Is the only way to live

Which life do you not eat of Kick?



Life is our dirty pope

Where the moon's empty plate shining

There are people who spit there

And some are looking for the moon



And suddenly frozen from the puddle

Out of the swimming moon sprawled

He approached us his face wet

And that's what he whispered



Which songs are our pain?

Secretly stored

Which night we are fro

Bitterly against the world



And a moment is open against us

Heaven's Doors God

Dogs she feeds

And closing wounds open



And there all dogs are full

Poets have wine and bread

And the songs there are not rubbing

Other sung up to dawn



And tear chains

Poets and dogs furious

Is ascending in the night

Their song prayer



And flies the poets

Crazy with dogs

Where it has already opened

Heaven's Doors God"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՆՈՐ ՏԱՐԻ,"Gather the pasts early

And make a round round

Sing the song this and dance

Greet the New Year



New Year New Year

Let your come be kind



Come on a bright smile

You are kind to our new year

The dreams of all of us

This year you do



Bring sweet pies

And happy and new games

Bring gift hopes and love

Our good our good friend



New Year New Year

Let your come be kind



And then at midnight

Guest will come to Santa Claus

And he will say to all

Happy New Year



New Year New Year

Let your come be kind"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԹԶՈՒԿԸ,"White beard red big nose

Good eyes

Walked on his face smile

Lamp

And under the nose with a murmur

Words:

Walked with a narrow trail

The dwarf old



When he reached a large forest

Dark spaces

Took off the shoulder baggage

His precious

And awakened spirits

Forest

When played magical

To this melody



And then the little dwarf

Hid the excitement of the soul

And cleaned his red nose with noise

And cleaned his red nose with noise



And when it sounded magical

To this melody

Together with cricket locusts

Firelights appeared

Golden

And shone in the dark forest

At midnight



A dark forest to a big moon

A midnight

Moonlight

Butterflies

And a dwarf that wake up

At midnight

And played magical

To this melody



A dark forest to a big moon

A midnight

An old oak who knew

Many secrets

And a blower where he lived

The dwarf old

Which had a red big nose

Good eyes



And then the little dwarf

Put down the bagpipe

And cleaned his red nose with noise

And cleaned his red nose with noise"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԳԻՇԵՐՎԱ ԱՍՏՂԱԶԱՐԴ ՆԿԱՐՈՒՄ,"In the star-starred picture of the night

Wake up the whispersush

And the moon over your face

Gentle slipped with a smile her tender



He closed your eyes tired

And filled your soul with illusion

New hopes of your ear whispered

That you wake up with a smile



Approach and open

Your window my little

The red sun appeared

See Flying He Heaven



The golden glow of the sun

Painted on your wall

This little miracle picture

These trees and this garden"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԼՈՒՍԱԲԱՑԻ ԵՐԳԸ,"See heaven today how blue

Clouds are white reefs

See Swimming Ship Sail

In the blue sea of sky



And the wind drives the sail

In the blue sea of sky

And the wind takes the sail

And get lost away



You hear the birds sing

That sleeping forest wakes up

The song of the dawn is the song

Heard by the forest



And the little bird of the luminous

And the clouds of golden

See Singing the Lusaboo song

The song of the dawn is our



You hear the birds sing

That sleeping forest wakes up

The song of the dawn is the song

Heard by the forest"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԶԱՏԻԿ,"Round Easter

Red grain

Went down in the field

Seen a flower on the edge of the drive

Flowered fell asleep



Yellow flower in the field

Easter on the flower

Round grain

Saver and Putper"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԿԱՊԻԿ,"Pictpikic jone

Wearing a T-Shirt

Tied you shawl goth

Standing on the foot



Mini-elaps

Will you like a lie?

Mini Kelness Kuzekuz

Den Pupuz"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,"ԾԱՓԻԿ, ԾԱՓԻԿ ԾԻՐԱՆԻ","Applause applause apricot

Hove to tease

My beautiful baby

Golden hair



Piesuent pigeon

Like a Varvar rose

White pieces of snow

WILL THE GOLDEN RENT"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,"ԱՐԵՎ-ԱՐԵՎ, Ե՛Կ, Ե՛Կ","Archery came

Elevated by Zezi Stone

Sevts and Clouds Go away

Open the sun



Let him come to us

We are longing for his light

Red Sun Come

Elevated by Zezi Stone



The sun defeated the clouds

The glare dropped the mountains

Zeiz Stone Video

Glossing like gold"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԼՈՐԻԿ,"Bleed Shun from morning

The mesh swept into the sea

Flew from the mesh to lor

Fell into the mountain and a gorge



Roundikgler

Olf



Loricloric this year

I did Art with Barley

Wherever you go early

ARTIS MANAGEMENT



Roundikgler

Olf"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԴՈՒ ԿԱՊՈՒՏԱԿ ԾՈՎՈՎ ԱՐԻ,"You buckle on the sea

Come on a lightweight

Come Come Beautiful Tsitsern

Come Come Spring You Bring



Spring will come with a swallow

There is no unknown spring

Come Come Beautiful Tsitsern

Come Come Spring You Bring"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՕՐՈՐ,"I have invented this song

That you don't suddenly not

That your dream lost

You find in your sleep



That you love this world

And with faith that live

You the way of your life

You will always see bright



Or a dark walk to walk one day

Let it sound like this song of my



Yours is a miracle this world

And this fairy tale is real

And this cruel planet

And your journey of trial



I have invented this song

That you are not discouraged

This miracle you have given you

Don't miss out from your hand



Believe and love my little friend

Life is given to you as a gift"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԾԻԱԾԱՆ,"The sun smiled happy

Dawn bright dawn

The grass is still wet

Trees wet

Rainbow hanging from the sky



Rainbow hanging from the sky

Seven colors his shining

Whispered day

The day told you

Open your window open



Rooster's trucking rings

The dog barked the tail planted

Rainbow wet

Dependent on the sky

A picture of the new day is decorated



The sunshine see

Kisses you kiss you"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՀԵՔԻԱԹ,"The words of fortune teller wife will be made

And the happy kingman will visit you

And in the garden where the flowers opened

He will be tenderly so gentle



The morning will open in the sound of a swallow

And the curtain will disappear at night

When you will make a bird bird in your heart

Then Spring will come to the desired visit



Come to me and the doors of spring

Tsitsernaks will come back like ahead

Come to me when the cruel winter is in my garden

The cold breath of winter will turn like ice



When all the doors of luck against you will be closed

When you become you all unwanted

When you dumpty the carefree faces of people around you

Then you call me to you my dear



You keep a fortune teller wife's words in your mind

And believe in the magic of destiny

The morning will open in the sound of a swallow

And visit you to the happy king



Come to me and the doors of spring

Tsitsernaks will come back like ahead

Come to me when the cruel winter is in my garden

The cold breath of winter will turn like ice"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԵՎ ՈՒՂԻՂ ԺԱՄԸ ՏԱՍՆԵՐԿՈՒՍԻՆ,"And exactly at twelve o'clock

The door will spend Santa Claus

He will enter the joystick

Happy Your New Year

Happy Your New Year



Let it be a happy year

Your dream is done

Let it every year

This fairy tale is repeated



May the bright Christmas tree shine

And this day forever

Illuminate in its colors

And you're in enchanted colors

Lighting in a fairy tale

Become good and believe



That every year on twelve

The door will spend Santa Claus

He will enter the joystick

Happy Your New Year



Let all the lights burn

Let happy songs sound

You wipe your tears

And smile little friend"
ՍԱՅԱԹ-ՆՈՎԱ,ՔԱՆԻ ՎՈՒՐ ՋԱՆ ԻՄ,"How many jurt john my yarah?

Teaver analyzed many sigh. Hanim Yar Ghadt Tank

Tell Jeyran My Cey Challenge Har Mtic Anim

Dark Bakhchen Nazov Kizov with Sazov Yar Iltimazov



Hairy Dasta Pryosh Your Pitta Heyran Plug

Let's go to Chols Wur Hasen Gold is a Jayran Plug

Bublbul Mastin Vardin Baghatin is Seyran Seyran

Dark Bakhchen Nazov Kizov with Sazov Yar Iltimazov



Together with the Jirgy Nam in Tsupi is open

Game Call Rang with Rang with Rang

Susan Sadmbulov Gharib Bullbulov Baghin is filled

Dark Bakhchen Nazov Kizov with Sazov Yar Iltimazov



Leylu Dotar Ninman Ninman

Yar's minds came to the hair on Muhawar

BL A BL ABULLY WILL BE DESTROYED

Dark Bakhchen Nazov Kizov with Sazov Yar Iltimazov



Hakelya atlas Turlu ornament and Khas Salbu Dal Bovun

Had my hand Livjnis and me Ten Gurban my Kovun

Til You Takhchen Gas Anis Part of Tsuk Sayatnovun

Dark Bakhchen Nazov Kizov with Sazov Yar Iltimazov"
