Artist,Song,Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՀԱ ԵՎ ՎԵՐՋ,"

	 

	Արևի շողերի մեջ արթնանում,

	Արևի շողերի մեջ ծիծաղում,

	Իմ փոքրի՜կ քաղաք, 

	Դու քո կյանքն ես ապրում:

	 

	Իմ բոլոր-բոլոր երգերը,

	Իմ կարոտը և իմ սերը

	Քո քնքուշ գիշերներում են ծնվում

	Եվ առավոտներիդ մեջ են հանդարտ թևածում:

	 

	Ի՜մ քաղաք, իմ փոքրի՜կ քաղաք,

	Ես քո երգն եմ երգում:

	 

	Երգն իմ թռչնակ է՝ թևերը պարզած,

	Որ պիտի թռչի հեռու,

	Բայց պիտի վերադառնա միշտ քեզ մոտ:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԱՐՏԱԳԱՂԹ,"
	Իմ ընկերները հեռանում են,

	Եվ այս էլ որերորդ անգամ,

	Հրավիրել մեզ մոռանում են

	Հրաժեշտի վերջին օրվան:

	 

	Իմ ընկերներն են հեռանում,

	Այնպե՜ս ծածուկ, այնպե՜ս թաքուն,

	Ասես հանգուցյալի մոտից 

	Պահված գանձերն են գողանում:

	 

	Իմ ընկերները հեռանում են,

	Որ էլ երբեք էլ ետ չգան,

	Նրանց դեմքերն անհետանում են,

	Նրանց դեմքերն արդեն չկան:

	 

	Նրանց ձայները դեռ հնչում են

	Մանկության վառ գույների մեջ,

	Նրանք կարծես թե ինձ կանչում են

	Ճամփաների վրա անվերջ:

	 

	Իմ ընկերները հեռանում են,

	Ինչպես թռչունների երամ,

	Ժամանակի հետ բթանում է

	Այն ցավը, որ նրանք չկան:

	 

	Այն ցավը, որ այսպես եղել է

	Եվ լինելու է անպայման,

	Որ հայրենիքը՝ դա երազ է,

	Պստիկ հատված տարածության:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՌԵՔՎԻԵՄ,"
	Հիմա ո՜ւշ աշուն է...

	Ծերացած մի շուն է

	Թափառում խոնավ ու ցուրտ այգում:

	 

	Ժանգոտ կարուսելը,

	Որն արդեն հոգնել է,

	Ինձ իմ մանկությունն է հիշեցնում:

	 

	Երջանիկ ծիծաղը

	Արդեն քմծիծաղ է,

	Խռպոտած հնչյուն իմ կոկորդում,

	Մոլորված թռչուն մութ երկնքում:

	 

	Մի ծեր շրջմոլիկը՝ դեմքով ապխտած,

	Նայեց աչքերիս, հայացքս կարդաց,

	Այդ ես հայելում տեսա ինձ հանկարծ,

	Որքա՜ն ինձ փոխեց այս կյանքն անիծված:

	 

	Ես համտեսել եմ կեղտոտ այս կյանքը,

	Ապրել քեզ պես անտեր, անտուն,

	Մենք եղբայրներ ենք, աշնան արևը,

	Մեզ նույն արևն է ջերմացնում:

	 

	Հիմա ո՜ւշ աշուն է,

	Ես քեզ դեռ հիշում եմ,

	Իմ խենթուխելա՛ռ ջահելություն:

	 

	Հիմա ո՜ւշ աշուն է,

	Ես քեզ դեռ հիշում եմ,

	Քե՛զ, իմ վաղանցի՛կ երջանկություն:

	 

	Երբ որ սերը մերն էր,

	Երբ որ նա մեր տերն էր,

	Երբ քաղաքը մեզ էր պատկանում,

	Մեր քաղաքը մեզ էր պատկանում:

	 

	Հե՜յ, ծե՛ր շրջմոլիկ, կանգնի՛ր, մի՛ գնա,

	Կանգնի՛ր իմ կողքին և մի՛ հեռանա,

	Դու ես եմ, կարծես, գտնենք մի անկյուն,

	Ես քեզ կպատմեմ իմ կյանքը անտուն:

	 

	Իսկ ես սիրում եմ ապրել իմ կյանքը

	Լքված ու մութ այս քաղաքում,

	Ուր ինձ հիշում են և հավատում են,

	Ուր իմ երգերն են դեռ երգում:

	 

	Իմ ունեցածը, իմ չունեցածը

	Այս քաղաքում եմ ես պահում,

	Ուր իմ ապրածը և երազածը

	Դեռ իմ լեզվով եմ ես երգում:

	 

	Հիմա ո՜ւշ աշուն է, 

	Ես քեզ դեռ հիշում եմ,

	Քե՛զ, իմ վաղանցի՛կ երջանկություն:

	 

	Երբ որ սերը մերն էր,

	Երբ որ նա մեր տերն էր,

	Երբ քաղաքը մեզ էր պատկանում,

	Մեր քաղաքը մեզ էր պատկանում:

	 

	Հե՜յ, ծե՛ր շրջմոլիկ, կանգնի՛ր, մի՛ գնա,

	Կանգնի՛ր իմ կողքին և մի՛ հեռանա,

	Դու ես եմ, կարծես, գտնենք մի անկյուն,

	Ես քեզ կպատմեմ իմ կյանքը անտուն:

	 

	Իսկ այս քաղաքը, որ դեռ սպասում է

	Զավակներին իմ կորցրած,

	Հոգեվարքի մեջ ասես տեսնում է

	Նրանց գալուստը ուշացած:

	 

	Քո զավակները, որ քեզ լքել են,

	Կգան մի օր քեզ մոտ հանկարծ,

	Քանի որ կյանքը օտարության մեջ

	Անտանելի է, անկասկած:

	 

	Հիմա ո՜ւշ աշուն է, 

	Ես քեզ դեռ հիշում եմ,

	Քե՛զ, իմ վաղանցի՛կ երջանկություն:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,"ԵՍ ՍՊԱՍՈՒՄ ԵՄ ՔԵԶ, ՀԱՅՐԻԿ","
	Այս տարվա քո նվերները 

	Մութն ու ցուրտն են, ի՛մ փոքրիկ,

	Այս տարի պայթող ռումբերը 

	Քեզ դարձել են խաղալիք:

	 

	Եվ այս խաղը պատերազմն է,

	Որ խաղում են մեծ մարդիկ,

	Իսկ խաղի վերջում քո ճիչն է՝

	«Ես սպասում եմ քեզ, հայրի՜կ»:

	 

	Ա՜խ, այս ի՞նչ Ձմեռ պապի է, 

	Որ քո տանն է հայտնվել, 

	Այս թշվառ ծեր մուրացկանը, 

	Տե՛ս՝ ինչեր է քեզ բերել:

	 

	Ա՜խ, այս ի՞նչ Ձմեռ պապի է, 

	Որ քո տանն է հայտնվել, 

	Այս թշվառ թափառականը

	Նվերներ է քեզ բերել:

	 

	Իսկ նրա բերած նվերը

	Մահվան գուժ ու արցունքներ,

	Հողի տակ մեռած մարդիկ են 

	Եվ, մեղա՜ քեզ... մանուկնե՜ր:

	 

	Հողի տակ մեր եղբայրներն են

	Ու քույրերը մեր քնել,

	Իսկ հողի վրա մեր կյանքը 

	Անեծքի է վերածվել:

	 

	Ա՜խ, այս ի՞նչ երկար ձմեռ է, 

	Տեսնես՝ ե՞րբ կվերջանա, 

	Երբ նորից բացվի գարունը, 

	Քո հայրիկը տուն կգա՞:

	 

	Քո հայրիկը, իմ փոքրի՛կս, 

	Անպայման մի օր կգա,

	Քո հայրիկը, անուշի՛կս, 

	Կգրկի քեզ, կխաղա:

	 

	Իսկ եթե հանկարծ, փոքրի՛կս, 

	Քո հայրիկը ուշանա,

	Դու հիշի՛ր նրան, պստի՛կս, 

	Նա քեզնից չի հեռանա:

	 

	Եվ դաժան այս ձմեռները 

	Դու շատ շուտ կմոռանաս,

	Երբ նորից բացվի գարունը, 

	Դու շատ շուտ կմեծանաս:

	 

	Դու փակիր քո աչուկները, 

	Բայց նրան մի՛ մոռանա,

	Ու հայրիկդ, իմ փոքրի՛կս, 

	Անպայման քեզ մոտ կգա: 

	 

	Քո հայրիկը, տե՛ս, եկել է,

	Ուսերին կանաչ սարեր,

	Քո հայրիկը, տե՛ս, եկել է,

	Աչքերում արեգակներ:

	 

	Այդ նրա ուժեղ ձեռքերն են 

	Բարձրացնում քեզ դեպի վեր,

	Քո հայրիկը հենց գարունն է, 

	Որ եկել է քեզ նվեր:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՆԿԱՐ,"
	Այս նկարում իմ տունն է

	Եվ իմ դեղին այգին,

	Այստեղ ամեն ինչ նույնն է

	Լուսաբացի պահին:

	Անտառը դեռ նիրհում է,

	Բայց կարթնանա կրկին

	Ե՛վ մանկության իմ հուշը,

	Ե՛վ իմ քնած այգին:

	 

	Առավո՜տ, թափանցի՜կ առավոտ,

	Ինձ օգնի՛ր մոռանալ իմ հոգսերը,

	Ինձ օգնի՛ր քո գրկում մանկանալ:

	 

	Աղբյուրի մեջ փլվել են ամպերը,

	Ասես սառել են քո անտակ խորքում,

	Սառնությունից դողում են ամպերը

	Ու օրորվում են երկնագույն հեռվում:

	Ու զրնգում են երկնագույն հեռվում,

	Առավո՜տ...

	 

	Իմ տանն ամայություն է,

	Առաստաղն է փոշոտվել,

	Այստեղ մանկության հուշն իմ

	Սառել է, մնացել,

	Արևի բարակ շողը փնտրել, ինձ չի գտել,

	Ինձանից խռովել է, թողել է, հեռացել:

	 

	Այս նկարում իմ տունն է

	Եվ իմ դեղին այգին,

	Այստեղ ամեն ինչ նույնն է

	Լուսաբացի պահին,

	Ամեն ինչ իր տեղում է,

	Ոչինչ էլ չի փոխվել,

	Այստեղ ամեն ինչ նույնն է,

	Միայն ես եմ հեռացել:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՈՐ ՍԱՐԵՐԸ ՉՄՆԱՆ ԱՆՏԵՐ,"
	Սարերում բացվել են կակաչները,

	Սարերում հրդեհ է իսկական,

	Լավագույն տղերքը հեռանում են,

	Որ երբեք, երբեք էլ ետ չգան:

	 

	Երբ նորից բացվեն գարնան դռները,

	Ու ծոցվոր հարսները մայրանան,

	Կհիշվեն հավերժ այն անունները՝

	Տղերքի, որոնք արդեն չկան:

	 

	Այդ արյունն է ձեր, կռվո՛ղ տղաներ, 

	Իր կարմիր գույնով սարերը ներկել,

	Դո՛ւք, որ կյանքը ձեր մեզ տվիք նվեր, 

	Որ սարերը մեր չմնան անտեր,

	Որ սարերը մեր չմնան անտեր:

	 

	Ես գիտեմ, և սա է իսկությունը,

	Ձեր երդումը գինն է ձեր արյան,

	Նոր ծնվածների արիությունը

	Կապվելու է ձեզ հետ անպայման:

	 

	Այդ արյունն է ձեր, կռվո՛ղ տղաներ, 

	Իր կարմիր գույնով սարերը ներկել,

	Դո՛ւք, որ կյանքը ձեր մեզ տվիք նվեր,

	Որ սարերը մեր չմնան անտեր,

	Որ սարերը մեր չմնան անտեր:

	 

	Իսկ այնտեղ պայթում էին ռումբերը,

	Եվ նրանք, ովքեր արդեն չկան,

	Վերապատմեցին մեր պատմությունը,

	Կարմիր տառերով իրենց արյան:

	 

	Իսկ այնտեղ պայթում էին ռումբերը,

	Եվ նրանք, ովքեր արդեն չկան,

	Վերապատմեցին մեր պատմությունը,

	Պատմությունը մեր Արիական:

	 

	Իսկ այնտեղ, որտեղ մեծ լռություն է,

	Ուր չկան վեճեր կուսակցական,

	Մենք կասենք՝ կեցցե՛ դաշնակցությունը,

	Հա՛յ դաշնակցությունը իսկական:

	 

	Այդ արյունն է ձեր, կռվո՛ղ տղաներ, 

	Իր կարմիր գույնով սարերը ներկել,

	Դո՛ւք, որ կյանքը ձեր մեզ տվիք նվեր,

	Որ սարերը մեր չմնան անտեր,

	Որ սարերը մեր չմնան անտեր:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԾԱՂԿԱԾ ԽՆՁՈՐԵՆԻ,"
	Հեռացան տղերքը ու կորան հեռվում,

	Ռումբերի պայթյունը սարերն է շարժում,

	Կարմիր կակաչները ներկել են դաշտերը, 

	Ասես լեռներից մեր արյուն է հոսում:

	 

	Հեռացան տղերքը, կորան մշուշում,

	Ետ գալու ճամփան էլ ոչ ոք չի հիշում,

	Իսկ ձեր եղբայրները, մայրերն ու քույրերը,

	Ձեր սիրելիները ձեզ են դեռ սպասում:

	 

	Իսկ դու շորորում ես, հովի հետ ճկվում,

	Հովի հետ նազում ես, հովի հետ խոսում:

	Դու ի՛մ խնձորենի, իմ քույրի՛կ նազելի,

	Փեսացուդ՝ գարունը, ո՞ւր է, չի գալի: 

	 

	Հեռացան տղերքը, կորան մշուշում,

	Ետ գալու ճամփան էլ ոչ ոք չի հիշում,

	Իսկ ձեր եղբայրները, մայրերն ու քույրերը,

	Ձեր սիրելիները ձեզ են դեռ սպասում:

	 

	Իսկ դու շորորում ես, հովի հետ ճկվում,

	Ճերմակ հարսնաքողդ քամին է տանում:

	Ծաղկած խնձորենի՛, իմ քույրի՛կ նազելի,

	Փեսացուդ՝ գարունը, ո՞ւր է, չի գալի:

	 

	Հեռացան տղերքը, կորան մշուշում,

	Ետ գալու ճամփան էլ ոչ ոք չի հիշում,

	Իսկ ձեր եղբայրները, մայրերն ու քույրերը,

	Ձեր սիրելիները ձեզ են դեռ սպասում:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՍԱՐԵՐԻ ՔԱՄԻ,"
	Սարերի՛ քամի, որտեղի՞ց ես գալիս

	Եվ ո՞ւր ես շտապում,

	Անհանգիստ ու տխուր

	Իմ սարերի՛ քամի:

	 

	Սարերի քամին ինչ-որ բան շշնջում

	Ու կորչում է հեռվում,

	Անհանգիստ ու տխուր

	Իմ սարերի քամին:

	 

	-Ես գալիս եմ շատ հեռուներից՝

	Ավերակ դարձած քո հայրենիքից,

	Որ տանեմ ես ձեր կարոտն այն լեռներին,

	Որոնց դուք թողել եք գետի այն ափին:

	 

	Սպասի՜ր, քամի՜, և ի՛նձ լսիր, թե ինչ կասեմ,

	Քիչ հանդարտվի՜ր և ի՛նձ լսիր, թե ինչ կասեմ,

	Որ տանես խոսքերս դու այն լեռներին,

	Որոնց մենք թողել ենք գետի այն ափին:

	 

	Քանի մեր վանքերում կնքում են մանուկներ՝

	Արևի պես մեծ ու կրակոտ աչուկներով,

	Քանի մեր աչքերում դեռ չի մարել կարոտը,

	Կարոտը այն, որով նայում ենք մենք հեռվին:

	 

	Ուրեմն մենք մի օր կգանք ձեր գիրկը դեռ,

	Մեզ սպասո՜ղ լեռներ:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՇԱԲԱԹՎԱ ՕՐԵՐԸ,"
	Ցուցափեղկում սառած հավեր կան անգլուխ,

	Ցուցափեղկի մայթին՝ շարժվող ամբոխ,

	Հապճեպ երկուշաբթի, հավի տեղական միս, 

	Օրերը անգլուխ ի՜նչ շուտ դարձան ամիս:

	 

	Նորից երկուշաբթին՝ ջղային, անօգնական, 

	Ձեռքերը կպարզի երեքշաբթի օրվան,

	Նորից կբամբասի հարբած կիրակիից՝

	Դատարկապորտ ու ծույլ այդ անբանից:

	 

	Չորեքշաբթին միշտ զուսպ, հանգիստ գլխով կանի,

	Ու հինգշաբթին կհորանջի մինչև ուրբաթ,

	Շաբա՛թ, ի՜նչ լավն ես դու ու աննկատ,

	Ի՜նչ հուսալի է միշտ քո առավոտը:

	 

	Իսկ կիրակին նորից չգիտի՝ ինչ անի,

	Ո՜նց զարմացնի բոլոր շաբթիներին,

	Ելավ փողոց, հետո մի քիչ թրև եկավ

	Ու հայհոյեց բոլոր այս օրերին:

	 

	Ռեստորանում հարբած նա կռիվներ սարքեց,

	Փնտրեց ու չգտավ իրեն հարմար մեկին,

	Առավոտյան նրան խմած-քնած գտավ

	Ջղային, ներվային երկուշաբթին:

	 

	Ցուցափեղկում սառած հավեր կան անգլուխ,

	Ցուցափեղկի մայթին՝ սառած ամբոխ,

	Ասես երազ է սա, որ չի վերջանալու,

	Այսպես երկարելու ու կյանք է դառնալու:

	 

	Ու կյանք են դառնալու հապճեպ երկուշաբթին

	Եվ կիրակին հարբած և զուսպ չորեքշաբթին:

	Օրացույցից հերթով պոկվում-ընկնում են ցած

	Օրերը անգլուխ, օրերը անգլուխ,

	Օրերը անգլուխ... օրերը գլխատված:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՇՈԳ ԿԻՐԱԿԻ,"
	Փողոցով քայլող մարդկանց դեմքերից

	Ձանձրույթը կպչում ու պոկ չի գալիս.

	Քայլող դիակներ և շոգ կիրակի.

	Արդեն մի ամիս անձրև չի գալիս,

	Շոգն անտանելի հանգիստ չի տալիս,

	Փողոցը հալվում ու լող է տալիս,

	Արդեն մի ամիս ինձ դուր ես գալիս...

	Վաղը, չգիտեմ, գուցե չլինեմ,

	Գուցե իմ վերջին երգը հորինեմ,

	Իմ շո՛գ կիրակի, ես քոնն եմ հիմա,

	Եվ քեզնից երբեք ես չեմ բաժանվի,

	Եվ օրացույցից կպոկվի դարձյալ

	Մի շոգ կիրակի, անփող կիրակի,

	Անտուն ու անտեղ, դատարկ կիրակի...

	Մի շոգ կիրակի, ու մի մեծ դագաղ

	Տանում են մարդիկ փողոցով երկար,

	Եվ նրանց հոգնած ու բութ դեմքերից

	Ճանճերը կպչում ու պոկ չեն գալիս,

	Ճանճերը կպչում ու պոկ չեն գալիս,

	Օ՜, խե՜ղճ հանգուցյալ, պառկած դագաղում,

	Դու էլ ես ինձ պես շոգից տառապում,

	Մինչդեռ քո հոգին իմ հոգու նման

	Օտար ափերում անձրև է փնտրում,

	Օտար ափերում անձրև է փնտրում.

	Անձրև ենք խնդրում, իմ շո՛գ կիրակի,

	Ես ու դագաղում պառկած մի հոգի

	Անձրև ենք խնդրում,

	Իմ շո՛գ կիրակի, ես քոնն եմ ընդմիշտ

	Եվ քեզնից երբեք ես չեմ բաժանվի,

	Եվ օրացույցից կպոկվի դարձյալ

	Մի շոգ կիրակի:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՐԻԿՈՒՆ,"
	Օրը հանգավ, 

	Ահա՛, և իրիկունը 

	Փռեց

	Իր հնամաշ շորերը, 

	Որ կարկատի հուշերը 

	Վաղուց ապրած 

	Արկածների:

	 

	Մայրամուտի վառվող արևն, 

	Արևն ու ես,

	Մենք քեզ փնտրում ենք միասին, 

	Փնտրում ենք քեզ:

	 

	Մայրամուտին արևն ու ես,

	Մենք փնտրում ենք, 

	Մենք փնտրում ենք քեզ:

	Իրիկո՜ւն,

	Իմ բարի՜ իրիկուն, 

	Ի՞նչ գաղտնիք կա քո մութ,

	Քո կապույտ հայացքում:

	 

	Դու ես ու ես,

	Դու դեռ իմ հուշերում ես,

	Լսի՛ր՝

	Մեր սերն ապրեց իր կյանքը,

	Բայց նրա արձագանքը 

	Մինչև հիմա

	Սրտումս կա: 

	 

	Իրիկո՛ւն, իրիկո՛ւն, բարի՛ կախարդ,

	Դու նայում ես, նայում ինձ անթարթ,

	Ինձ ասա՛, իմ բարի՛ իրիկուն,

	Ի՞նչ գաղտնիք կա քո մութ հայացքում:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ՏԽՈՒՐ ՍԱՏԱՆԱ,"
	Տե՛ս՝

	Պատուհանից այն կողմ

	Տերևները 

	Խենթի պես են պարում, 

	Այդ աշնան գիժ քամին է

	Հարբած օրորվում:

	 

	Իմ ցուրտ սենյակում

	Հիմա ոչ ոք չկա,

	Միայն դու ես ինձ հետ,

	Իմ տխո՛ւր սատանա,

	Եվ ոչ ոք այսօր 

	Մեզ չի խանգարում:

	 

	Դու ես իմ բարի հոգեառը,

	Ես քեզնից չեմ վախենում, 

	Դու, ինչպես միշտ, իմ կողքին ես,

	Երբ ես մենակ եմ լինում:

	 

	Մենք 

	Հիմա կիջնենք ներքև,

	Կքայլենք մենք 

	Անձրևոտ փողոցում,

	Կխառնվենք մարդկանց

	Սրճարանի ծխում:

	 

	Աղմուկը երբեք 

	Մեզ չի խանգարել,

	Մենք միշտ լռությամբ ենք 

	Իրար հետ կիսվել,

	Իմ տխո՛ւր սատանա,

	Իմ տխո՛ւր սատանա:

	 

	Դու ես իմ բարի հոգեառը,

	Ես քեզնից չեմ վախենում, 

	Դու, ինչպես միշտ, իմ կողքին ես,

	Երբ ես մենակ եմ լինում:

	 

	Եվ արդեն կեսգիշերին,

	Երբ տուն կբերեն իմ դիակը,

	Դու ինձ ոռնա իմ մահերգը

	Եվ արթնացրու բոլորին:

	 

	Դու ես իմ բարի հոգեառը,

	Ես քեզնից չեմ վախենում, 

	Դու, ինչպես միշտ, իմ կողքին ես,

	Երբ ես մենակ եմ լինում:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԿՐԿՆՎՈՂ ՊԱՏՄՈՒԹՅՈՒՆ,"
	Դու դարձյալ ինձ մոտ ես եկել,

	Կրկնվո՛ղ պատմություն,

	Դռներս բաց են եղել միշտ քո առջև,

	Ճակատագի՛ր իմ, դառնությո՛ւն:

	 

	Դու ժպտում ես՝ կանգնած իմ շեմին,

	Խնդրե՛մ, նե՛րս համեցիր,

	Ես նույնիսկ ուրախ եմ քո գալուն,

	Խնդրե՛մ, մի՛ կասկածիր:

	 

	Գիտեի, որ կգաս, չես սիրում սպասեցնել,

	Դռներս բաց են, տե՛ս,

	Կներես, սեղանին միայն գինի եմ դրել,

	Որն ինձ հետ մինչև վերջ խմես:

	 

	Եվ երբ ես կհարբեմ,

	Աչքերս կմշուշվեն,

	Շուրթերս կհամբուրես,

	Ու դաշույնը ձեռքիդ

	Համբույրի ժամանակ

	Սիրտս կխրես:

	 

	Դե խփի՛ր, մի՛ սպասիր,

	Տե՛ս, կանգնած եմ պատրաստ,

	Թող ձեռքդ չդողա:

	Քո նոր վերքն իմ սրտում

	Մի նոր երգ կդառնա,

	Հավատա՛, հավատա՛:

	 

	Դու դարձյալ ինձ մոտ ես եկել,

	Կրկնվո՛ղ պատմություն,

	Ես քեզ սպասում եմ վաղուց,

	Ճակատագի՛ր իմ, դառնությո՛ւն:

	 

	Դե խփի՛ր, մի՛ սպասիր,

	Տե՛ս, կանգնած եմ պատրաստ,

	Թող ձեռքդ չդողա:

	Քո նոր վերքն իմ սրտում

	Մի նոր երգ կդառնա,

	Հավատա՛, հավատա՛:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՍԱՐԴՈՍՏԱՅՆ,"
	Երեկոն սենյակիս պատերին

	Շուռումուռ ստվերներ է գծում,

	Հեռացող քայլերի արձագանք կա

	Դատարկ փողոցում:

	 

	Մեկ լսվում են նրանք, մեկ էլ՝ ոչ,

	Արդյոք ո՞ւր են գնում,

	Մենք բոլորս հյուրեր ենք անկոչ

	Այս դատարկ աշխարհում:

	 

	Սենյակում, որտեղ ես եմ ապրում,

	Կան ուրիշ տարօրինակ էակներ,

	Բայց նրանք երբեք չեն խանգարում,

	Երբեք չեն խանգարում ինձ ապրել:

	 

	Կա մկնիկ, որ շաքար է սիրում

	Եվ ունի ընտանիք,

	Եվ կատու, որ սիրահարվում 

	Ու փախչում է տանիք:

	 

	Կա մի սարդ, որ սիրում է կախվել

	Փոշոտ առաստաղից,

	Ու մեկ-մեկ զրուցում է ինձ հետ

	Տանջող հոդացավից:

	 

	Երեկոն հուշերիս թելերից

	Սարդոստայն է գործել,

	Ես սարդի հետ իմ առաստաղից

	Որոշել եմ կախվել:

	 

	Որոշել եմ կախվել հենց էնպես,

	Առանց լուրջ պատճառի,

	Փաթաթվել հուշերիս թելերին

	Ու ոռնալ կատաղի:

	 

	Թե բոլորս հյուրեր ենք անկոչ

	Ու որբեր միայնակ,

	Էլ ինչո՞ւ ենք իրար հալածում

	Ու կրծում շարունակ:

	 

	Երեկո. հուշերիս փողոցով,

	Իմ անցյալն է անձայն հեռանում,

	Եվ նրա հեռացող քայլերից

	Ես մենակ եմ մնում:

	 

	Իմ մկնիկը արդեն արթնացել,

	Ուտելիք է փնտրում,

	Իմ կատուն ինձանից ձանձրացել,

	Տանիքում է քնում:

	 

	Ժամանակը սարդի պես նայում է ինձ

	Մութ անկյունից,

	Մեղքերիս թողություն եմ հայցում

	Չգիտես, թե ումից:

	 

	Հուշերիս կոտրված հայելուց

	Սառնություն է փչում,

	Այնտեղից անծանոթ ինչ-որ դեմք

	Անթարթ ինձ է նայում,

	 

	Ես գոռում եմ՝ կորի՛ր, գարշելի՛,

	Այդտեղ ի՞նչ ես անում, 

	Նա նայում է արդեն չարացած,

	Եվ ես ինձ եմ տեսնում:

	 

	Երեկո. իմ փոքրիկ սենյակում

	Մի թիթեռ է անվերջ պտտվում,

	Եվ նրան իմ սենյակը փոքրիկ

	Մի անվերջ սարդոստայն է թվում:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՕՐԵՐԸ ՇԱՐԱՆ-ՇԱՐԱՆ,"
	Օրերը՝ շարան-շարան, գորշ, իրար նման,

	Թռչում են անիմաստ ու անիրական:

	Գոնե դո՛ւ, սիրելի՛ս, ինձ մի՛ մոռացիր,

	Ու մեկ-մեկ, սիրելի՛ս, դու ինձ այցելի՛ր:

	 

	Օրերը՝ շարան-շարան, անիմաստ ու գորշ,

	Չգրված երգի նման դատարկ, անորոշ,

	Թռչում են ու փախչում ինձնից հեռու,

	Գոնե դո՛ւ, սիրելի՛ս, մի՛ լքիր ինձ դու:

	 

	Դու այն օրը ասացիր՝ չես գա էլ ինձ մոտ,

	Որ իմ կացարանը ցուրտ, խոնավ է, կեղտոտ,

	Իսկ հիմա գիշերով դու հայտնվեցիր,

	Ի՞նչ ես կանգնել-մնացել, խնդրե՛մ, նե՛րս անցիր:

	 

	Դու մենակ ես ու ազատ, չունես սահմաններ,

	Ես ունեմ հարբած կիթառ և ունեմ երգեր,

	Իմ փողոցայի՛ն ճնճղուկ, դու ինձ մո՛տ մնա,

	Մի՛ լքիր ինձ, ի՛մ խենթուկ, իմ չա՛ր սատանա:

	 

	Օրերը՝ շարան-շարան, իրար շատ նման,

	Թռչում են անիմաստ ու անիրական,

	Գոնե դո՛ւ, սիսրելի՛ս, ինձ մի՛ մոռացիր,

	Ու մեկ-մեկ, սիրելի՛ս, դու ինձ այցելի՛ր:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՆՁ ՄԻ ՓՆՏՐԻՐ ՈՍՏԻԿԱՆ,"
	Ինձ մի՛ փնտրիր, մի՛ թակիր իմ պատուհանը, 

	Այստեղ եմ ես, ես, կամ էլ՝ իմ ուրվականը:

	 

	Անթարթ մի աչք հետևում է ինձ իմ տանը, 

	Ա՛յ քեզ հրաշք, սա իմ տո՞ւնն է, թե՝ զնդանը:

	 

	Դու ինձ ասա՛, գոնե դո՛ւ տուր պատասխանը, 

	Ո՞ւմ տունն է սա, ո՞ւմն է այս բնակարանը:

	 

	Կար մի քաղաք, քաղաքում, փակված իր տանը, 

	Ապրում էր նա, նա, կամ էլ՝ իր ուրվականը:

	 

	Լռում էր նա, թե՞ խոսում էր ուրվականը, 

	Ո՞ւմ գործն է դա, մի՞թե դա է էականը:

	 

	Կար ազգանուն՝ կպցրած նրա դռանը,

	Եվ փաստաթուղթ, որ նա ապրում է հենց այդ տանը:

	 

	Եթե մի օր այցելի ինձ ոստիկանը, 

