Artist,Song,Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՀԱ ԵՎ ՎԵՐՋ,"

	Տարեք յուրացրեք տաղերս ցավոտ,

	Եթե, իհարկե, կարողեք մեկտեղ

	Կյանքիս էջերը յուրացնել դրամով:

	 

	Երբ որ իմ երկրիս հողը քարքարոտ

	Իր մեջ հալեցրեց բյուր երազանքներ,

	«Ո՞ւր էիր, Աստված» կանչը խլացած

	Նորից արթնացավ և արձագանքվեց:

	 

	Երկնքում անթիվ աստղեր են լողում,

	Անկախ նրանից, թե ով է երգում,

	Այս վանքին գամված երգիս ծերունին

	Դեռ մինչև հիմա իր խոսքն է ասում:

	 

	Նորից «Կտակ»-ի բառերը նայի

	Հնչում են չորս կողմ չորցած շուրթերից,

	Երգը չի ուղղում շրջադարձն կյանքի,

	Այլ կյանքն է դրդում ցանքը երգերի:

	 

	Թող հողը երկրիս ինձ մեկ ժամ էլ կրի,

	Մերկացած իմ ջիղերը՝ մեկ ժամ էլ լարվեն.

	Ուզում եմ տեսնել վերջը իմ տաղի,

	Այս կողոպուտին ներկա գտնվել:

	 

	Երկիր անաստված, ինձ մեկ ժամ էլ կրի,

	Մերկացած իմ ջիղերը՝ մեկ ժամ էլ լարվեն,

	Խոստանում եմ Ձեզ, որ բեռ չեմ լինի,

	Մի քիչ էլ ինձ կյանք, մի քիչ համբերի:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՕՐԵՐ,"
	Կավի նման, ափերի մեջ,

	Ինձ ճմռում է բեմը այս հսկա:

	Ձայնը կախվեց առաստաղից,

	Արձագանքի համար այլևս սիրտ չկա:

	 

	Եվ վարագույրը ապակյա դանդաղ իջավ,

	Սեղմվեց բեմի եզրին,

	Եվ երգը՝ գոլորշու նման,

	Հպվեց նրան, դարձավ կաթիլ:

	 

	Օրերը լուռ, օրերը ցուրտ,

	Օրերը լերկ, օրերը անիմաստ,

	Օրերը նեղ, օրերը խենթ,

	Օրեր անշարժ, կամ էլ վազքից հոգնած:

	 

	Օրեր հարբած, օրեր տարված,

	Օրեր կարոտ, օրեր օտարացած,

	Օրեր լարված աղեղի պես,

	Օրեր աղոթք, կամ անեծքի տրված:

	 

	Հազար-հազար դեմքերի մեջ

	Տեսնում եմ քո աչքերը ես միայն:

	Ինչո՞ւ է բեմը լուսավոր,

	Իսկ դահլիճի շարքերը՝ աննշմար:

	 

	Մի տող, մի տուն, մի երգ՝ ոչինչ

	Սիրո մասին երբեք ես չեմ գրել,

	Որովհետև խենթի նման

	Իրականում եմ միշտ սիրել:

	 

	Իբրև երազ, իբրև կարոտ,

	Իբրև հրաշք կապույտ երկինք,

	Դու մարդկային ոգու տաղանդ,

	Դու չես ժպտում ամեն մեկին:

	 

	Հազար երգերի մեջ տանջված,

	Գրքերի մեջ ճզմված թիթեռ,

	Երեք տառից է բաղկացած

	Հրաշքը՝ որ կոչվում է սեր:

	 

	Նա է, որ չի ներում կեղծիք,

	Չի ենթարկվում ժամանակին

	Եվ շուրթերի վրա դողում

	Աղոթքի պես աստվածային:

	 

	Լույսն է սիրո քեզ ուղեկցում,

	Ամեն վարկյան ռազմի դաշտում:

	Սերն է, որ մեզ գուցե փրկի

	Կամ էլ կորցնի անապատում:

	 

	Սերն է միակ տերն ու արքան,

	Մնացածը՝ ունայնություն:

	Նա է իմաստը այս կյանքի,

	Որ մեկ անգամ է շնորհվում:

	 

	Օրերը նենգ, օրերը բութ,

	Օրերը ստոր և անիծված,

	Եվ սառույցե այս ամրոցում,

	Նրա կրակը չի մարած:

	 

	Օրեր կորուստ, օրեր նվեր,

	Օրեր աղոթք, օրեր առանց «Հայր մեր»,

	Օրեր հրաշք, օրեր պարապ,

	Օրեր՝ երկար-երկար սատկած ձմեռ:

	 

	Օրեր նոր երգ, օրեր ոչինչ,

	Օրեր ընկեր, օրեր նոր թշնամի,

	Օրեր կնունք, օրեր ծնունդ,

	Ի՞նչպես ջնջեմ օրերը կորուստի:

	 

	Կավի նման, ափերի մեջ,

	Ինձ ճմռում է բեմը այս հսկա:

	Ձայնը կախվեց առաստաղից,

	Արձագանքի համար այլևս սիրտ չկա:

	 

	Օրերը նենգ, օրերը ստոր,

	Օրեր վերելք, օրեր դավաճանած,

	Օրեր հազար տագնապների,

	Սակայն՝ երբեք-երբեք ծնկի չեկած:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՖԻԴԱՅՈՒ ՄԱՀԸ,"
	...

	Եվ հոգիս է մորմոքում,

	Կուրծքս ճեղքեց սուրը վայրագ,

	Եվ արյունս է դեռ հոսում:

	 

	Միակն էի ամբողջ գյուղից,

	Մյուսները փախեփախ,

	Ես ինչ անեմ, որ ողջ գյուղը

	Դարձրեց իրեն գաղթական:

	 

	Վախը այրեց հոգին մարդոց,

	Դարձրեց մի հոտ փախստական,

	Ազգս՝ բաժան, լոկ միացավ

	Գաղթի ճամփին անիծյալ:

	 

	Աղոթքս զենքով ես փոխեցի,

	Դարձա մենակ ֆիդային,

	Մինչ ուժասպառ ես կռվեցի,

	Ոչ ոք չկար իմ կողքին:

	 

	Վերցրու ինձնից կաթիլ արյուն,

	Օրհնիր փոքրիկ մատուռում,

	Թեկո՛ւզ մենակ, թեկո՛ւզ անզեն

	Դարձա պաշտպան իմ հողին:

	 

	Մենակ ընկած շատ սպասեցի,

	Սակայն չեկավ օգնություն,

	Միայն անթիվ սև ագռավներ

	Պտտվում են իմ կողքում:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԸՆՏԱՆԵԿԱՆ ԼՈՒՍԱՆԿԱՐ,"
	Լավագույն տղերքը հեռանում են,

	Օտար ափերում բախտ որոնում,

	Սիրելի կանայք թողնում-գնում են,

	Ուրիշների մեջ են մեզ փնտրում:

	 

	Ամենալավ երգը լռությունն է՝

	Երկու զույգ աչքեր մթության մեջ,

	Իսկ սարսափելին հիշողությունն է,

	Որ հետո թերթում ես էջ առ էջ:

	 

	Ու փչում է քամին ունայնության,

	Ու ջնջում ամեն ինչ,

	Ու պոկվում են անցյալը ու ներկան

	Իմ կյանքի էջերից:

	 

	Ես գիտեմ՝ ինչ բան է ժամանակը,

	Ամեն ինչ հոսում է, փոփոխվում,

	Կյանքի ուղեգրով շարժվող գնացքը

	Վերջին կանգառին է մոտենում:

	 

	Ես այս աշխարհի խենթ սիրահարն եմ,

	Ունեմ ընկերներ՝ ինձնից խելառ,

	Բոլորի համար ես աղոթում եմ

	Ու գրում երգեր նրանց համար:

	 

	Ես գրում եմ երգեր այն ժամանակ,

	Երբ գիշերն է իջնում,

	Երբ մնում եմ ազատ ու միայնակ

	Իմ սարքած զնդանում:

	 

	Ես ունեմ թաքուն իմ երջանկությունը,

	Թող նախանձ մարդիկ աչքով չտան,

	Դա իմ ապրելու մեծ ցանկությունն է,

	Որ պիտի երգեմ, քանի դեռ կամ:

	 

	Ես ունեմ մի կին, որն ինձ սիրում է,

	Նա ունի մի սիրտ՝ ոսկուց էլ թանկ,

	Մենք ունենք փոքրիկ, որն արդեն խոսում է

	Ու տալիս հարցեր՝ թարս ու շիտակ:

	 

	Նա տալիս է հարցեր՝ թարս ու շիտակ,

	Հարցեր՝ ամեն տեսակ, հարցեր՝ շատ տարօրինակ,

	Ես փորձում եմ գտնել պատասխաններ 

	Ու ստանում նոր հարցեր:

	 

	Իմ գլխում ամեն ինչ խառնվել է,

	Ես ինքս ունեմ այնքան հարցեր,

	Եվ այդ հարցերի անվերջ շարանը

	Ինձ ստիպում է նոր երգեր գրել:

	 

	Ես գիտեմ, որ երգը և՛ աղոթք է,

	Ե՛վ ինչ-որ չափով մխիթարանք, 

	Դա երջանկության հավերժ պատրանքն է,

	Որն ինձ հետ ապրում, դառնում է կյանք:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ՏՈՒՆՆ ԱՆԻՎՆԵՐԻ ՎՐԱ,"
	Իմ տունն անիվների վրա

	Կգլորվի ու կգնա,

	Մի օր ինձնից կհեռանա

	Իմ տունն անիվների վրա:

	 

	Տունս մի օր կառնի թևեր,

	Ինձ կթողնի, կթռչի վեր,

	Ու կճոճվի՝ լուսնից կախված,

	Կյանքիս հեքիաթն իմ հնարած:

	 

	Ես ունեմ երեք փոքրիկ՝

	Մի տղա, երկու աղջիկ,

	Իսկ նրանք ունեն մայրիկ

	Եվ երգեր գրող հայրիկ:

	 

	Իմ երգն անիվների վրա

	Ինձ կլքի ու կգնա,

	Մի օր ինձնից կհեռանա

	Իմ երգն անիվների վրա:

	 

	Երգերը իմ կառնեն թևեր

	Եվ իմ սրտից կթռչեն վեր,

	Էսպես հերթով, շարան-շարան

	Նրանք ինձնից կհեռանան:

	 

	Ես ունեմ տարբեր երգեր՝

	Իմ կյանքից պոկված դեպքեր,

	Սա իմ կյանքն է, ի՛մ ընկեր,

	Որ փորձում եմ ես երգել:

	 

	Իմ կյանքն անիվների վրա

	Կգլորվի ու կգնա,

	Մի օր ինձնից կհեռանա

	Իմ կյանքն անիվների վրա:

	 

	Իմ կյանքն անիվների վրա

	Մի օր ինձնից կձանձրանա,

	Նա կհոգնի ու կգնա,

	Իմ կյանքն անիվների վրա:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԿՅԱՆՔ ՄԱՐԴԿԱՅԻՆ,"
	Որքան արագ է պտտվում

	Այս անիծյալ խենթ մոլորակը,

	Որքան արագ է հեռանում

	Մեր ապրելու լավ ժամանակը:

	 

	Հետո դանդաղ, դանդաղ,

	Կհեռանա ջահելությունը,

	Հետո էլ ի՞նչ երջանկություն,

	Երբ մոտենում է ծերությունը:

	 

	Մի օր պոկվեց-թռավ

	Իմ մանկության կապույտ թռչունը,

	Այդ ամպերի միջով մի ճիչ

	Չվեց դեպի հավերժությունը:

	 

	Կյանքի շեմին կանգնած էր լուռ

	Ու գլխահակ մի պատանի,

	Երազանքներ ունեն մաքուր,

	Ձեռքին՝ սպիտակ մի աղավնի:

	 

	Բայց աղավնին թռավ հեռու,

	Ձուլվեց կապույտ երկինքներին,

	Կյանքը ոչինչ ետ չի բերում

	Նա թալանում է բոլորին:

	 

	Հիմա նրա ուսին թառել,

	Հպարտ շարժում էր իր թևերը

	Բազեն, որը պիտի թռչեր

	Դեպի կյանքի հորիզոնները:

	 

	Բայց երբ բազեն երկինք ճախրեց,

	Մի կրակոց լսվեց հանկարծ,

	Կապույտ երկինքը կարմրեց,

	Ու քաջ թռչունը ընկավ ցած:

	 

	Ու երբ տղան վերցրեց նրա

	Դեռ տաք մարմինն իր ձեռքերին,

	Կյանքը նրան ոճիր թվաց,

	Նա անիծեց ճակատագրին:

	 

	Ու ձմեռվա սառցակալած

	Ճամփաներով ոլոր-մոլոր

	Քայլեց ճամփորդը դեպի ցած,

	Դեպի վախճանը գլխիկոր:

	 

	Ագռավների երամը սև,

	Ձմռան երկինքը անարև,

	Կյանքի ժամկետը հարկադիր

	Դարձան մարդու ճակատագիր:

	 

	Ու երբ կնքեց մահկանացուն

	Մարդու մարմինը չարչրկված,

	Նա իր հոգին տվեց Աստծուն՝

	Որպես թռչուն մի հալածված:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԿԵՆՍԱԳՐՈՒԹՅՈՒՆ,"
	Ինձանից էլ ջահել իմ պապերը

	Հրաժեշտ չտված հեռացան,

	Վշտի մեջ էլ հպարտ իմ տատերը

	Հանկարծ մի գիշերում ծերացան:

	 

	Իսկ հետո, երբ լսվեց կրակոցը,

	Դույլի մեջ կաթն ասես սևացավ,

	Էդ շարժվեց մանկության օրորոցը,

	Էդ պստիկը քնից արթնացավ:

	 

	Օրորվի՜ր, մանկությա՛ն օրորոց,

	Կյանքը՝ մութ փակուղով մի փողոց,

	Կյանքն՝ իրար ուտելու փակ դպրոց, 

	Օրորվի՜ր,

	         Օրորվի՜ր,

	                  Օրորվի՜ր, մանկությա՛ն օրորոց:

	 

	Դա երա՞զ էր, թե՝ ոչ, բայց պապերս

	Խստորեն ասացին՝ դիմացիր,

	Հերթը քոնն է, էսպես է, ախպե՛րս,

	Ցավերդ երգելով՝ հեռացիր:

	 

	Իսկ դրսում նոր կոփված տականքները

	Թալանում ու գռփում են մարդկանց,

	Էս կեղտոտ, ասիական, մութ բարքերը

	Ու դեմքերն, ինչ սազում են սրանց:

	 

	Օրորվի՜ր, մանկությա՛ն օրորոց,

	Կյանքը՝ բութ կրքերի աղբանոց,

	Կյանքը՝ լուռ վշտերի խենթանոց,

	Օրորվի՜ր,

	         Օրորվի՜ր,

	                  Օրորվի՜ր, մանկությա՛ն օրորոց:

	 

	Ինձ կյանքում խաբեցին ընկերներս,

	Իսկ հետո սուսուփուս հեռացան,

	Ի՜նչ ափսոս՝ երգեցի ես երգերս

	Լոկ նրանց, ովքեր ինձ մոռացան: 

	 

	Օրորվի՜ր, մանկությա՛ն օրորոց,

	Կյանքը՝ մութ կրքերի աղբանոց,

	Կյանքն՝ իրար ուտելու փակ դպրոց,

	Օրորվի՜ր,

	         Օրորվի՜ր,

	                  Օրորվի՜ր, մանկությա՛ն օրորոց:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ԱՆՑՅԱԼԸ,"
	Ես սիրած մի աղջիկ ունեի՝

	Կիթառի լարերից սիրելի,

	Ինձ փոխեց նա ուրիշ մեկի հետ

	Ու դրեց վերջակետ:

	 

	Անհասցե մի նամակ գրեցի

	Ու նամակս քամուն հանձնեցի,

	Որ կորչի պատմությունն այս անհետ

	Ու երբեք չգա հետ:

	 

	Բայց քամին անառակ,

	Իմ կամքին հակառակ,

	Պատմությունն այս բերեց

	Ու դեմքիս շպրտեց:

	 

	Ես ազնիվ մի ընկեր ունեի,

	Որ դարձավ գրպանին իր գերի,

	Նա իր շուրջը գծեց շրջանակ

	Ու ապրեց երջանիկ, բայց մենակ:

	 

	Ու քամուն ես նորից խնդրեցի՝ 

	Պատմությունն այս տանի-կորցնի,

	Որ տանի-կորցնի նա իր հետ

	Այս դիպվածն անհեթեթ:

	 

	Բայց քամին անառակ,

	Իմ կամքին հակառակ,

	Իմ անցյալը նորից

	Ինձ սարքեց ուղեկից:

	 

	Ես անցյալս ջնջել փորձեցի

	Եվ իմ կյանքը գինուն տվեցի,

	Բայց մի օր, երբ ես լուրջ արթնացա,

	Անցյալիս դժգույն դեմքը տեսա:

	 

	Ու քամուն ես նորից խնդրեցի՝

	Իմ անցյալը տանի-կորցնի,

	Որ թողնի իմ անցյալն ինձ մենակ

	Շատ երկար ժամանակ:

	 

	Բայց քամին անառակ,

	Իմ կամքին հակառակ.

	Իմ անցյալը նորից

	Ինձ սարքեց ուղեկից:

	 

	Իսկ հետո, երբ արդեն մեծացա,

	Երբ այսինքն կարգին բթացա,

	Երբ իմաստը կյանքի հասկացա,

	Իմ անցյալը իրոք մոռացա:

	 

	Խնդրեցի ես քամուն անառակ՝

	Ետ բերի օրերից ցուրտ ու տաք,

	Ու սուլի ականջիս անցյալի

	Մի ծանոթ եղանակ:

	 

	Բայց քամին հայհոյեց

	Ու լկտի ծիծաղեց,

	Անցյալիս փոխարեն

	Ուրիշ բան... ցույց տվեց:

	 

	Հասկացա վերջապես մի պարզ բան,

	Որ անցյալս մտավ գերեզման,

	Իսկ ինձ հետ մնաց լոկ իմ ներկան՝

	Անիմաստ, անիմաստ խոհական:

	 

	Իսկ հետո բոլորի նման ես 

	Ընտրեցի մի լավ կին՝ այնքան հեզ, 

	Որ ստիպեց մոռանալ ինձ ներկան

	Ու կերտել մեր կյանքի ապագան:

	 

	Ես դարձա ամուսին,

	Նա դարձավ տան տիկին,

	Այսքանով երջանիկ

	Ապրեցինք միասին:

	 

	Հասկացա վերջապես մի պարզ բան,

	Որ մտա իսկապես գերեզման,

	Եվ քամին անպատկառ ինձ սուլեց

	Մեղեդին, մեղեդին իմ մահվան:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԵՐԲ ԵՍ ԿՄԵՌՆԵՄ,"
	Երբ ես կմեռնեմ, շիրիմիս վրա

	Տղերքը հերթով ինձ այցի կգան,

	Ասացե՛ք նրանց՝ թող չմոռանան,

	Որ մի լավ հարբեն ուշ երեկոյան:

	 

	Աղջիկները թող արցունք չթափեն, 

	Հորիզոնական դիրքով երբ տեսնեն.

	Չէ՞ որ դիրքը այդ հայտնի է նրանց,

	Նրանց հուշերում ես կապրեմ պառկած:

	 

	Երբ ես կմեռնեմ, շիրիմիս վրա

	Թող որ համբուրվեն աղջիկ ու տղա, 

	Ու երբ գինովնան սիրո համբույրից,

	Թող մի երգ հիշեն իմ հին երգերից:

	 

	Ու թող թևածի Աստվածը սիրո

	Եվ իմ գերեզմանն օծի սուրբ գինով,

	Ու թող ծածանվեն վարսերը նրա,

	Ում անունը միշտ գաղտնի կմնա:

	 

	Խորհրդային բիրտ բարքերի սև էջ,

	Մենք մեզ թերթեցինք ու գտանք մեր վերջն,

	Այնտեղ կարմիրով գրված էր՝ դժողք,

	Ո՞ր մեղքի համար՝ չգիտեր ոչ ոք: 

	 

	Բայց մենք ընտրեցինք կյանքն անապահով,

	Ու տղերքի հետ դուրս ելանք բաց ծով,

	Որ հավատարիմ մեր խենթ երազին

	Չդառնանք երկրի հնազանդ գերին:

	 

	Թող աստված ների մեղքերն իմ որոշ,

	Կյանքն իմ անհանգիստ, վարքն իմ անորոշ,

	Ես նրա կամքով երգեր եմ գրել,

	Փորձել երգերով մեղքերն իմ քավել:

	 

	Թող փառաբանվի անունը Նրա,

	Ում երգարանից երգեր գողացա,

	Կյանքի մատյանից դասերն իմ առա,

	Ում ներշնչանքով թաքուն հիացա:

	 

	Երբ ես կմեռնեմ, շիրիմիս վրա

	Տղերքը հերթով ինձ այցի կգան,

	Ու հետո հերթով լուռ կհեռանան,

	Որ հետո հավերժ ինձ ընկերանան:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՄԻԱՅՆ ԴՈՒ ՉՏԽՐԵՍ,"
	Միայն դու չտխրես ու լաց չլինես,

	Օրերը տխուր կանցնեն-կգնան,

	Քամիները չար, քամիները ցուրտ

	Կխփեն դեմքիդ ու կհեռանան:

	 

	Ու մի քաղցր ձայն հեռվում կզնգա

	Եվ հուշի նման քեզ այցի կգա,

	Ու կղողանջի հեռվում քաղցրաձայն,

	Ո՞ւր ես դու գնում, ի՛մ թափառական:

	 

	Անիմաստ է թափառելը,

	Երբ հոգնել են քո ոտքերը,

	Անիմաստ է թափառելը,

	Երբ հոգնել են ճամփաները քեզանից...

	 

	Երգ իմ մոռացված,

	Երգ իմ հեռացած,

	Ես քեզ կորցրի ճամփին մոլորված,

	Բայց գիտեմ, որ դու ետ կգաս կրկին,

	Կլցնես սիրով իմ տխուր հոգին:

	 

	Իմ հոգնա՛ծ ճամփորդ, ո՞ւր ես դու գնում, 

	Քայլերով մոլոր ո՞ւր ես հեռանում, 

	Ո՞ւր է քեզ տանում ճամփան անսահման, 

	Կա՛նգ առ վերջապես, ի՛մ թափառական:

	 

	Անիմաստ է թափառելը,

	Երբ հոգնել են քո ոտքերը,

	Անիմաստ է թափառելը,

	Երբ հոգնել են ճամփաները քեզանից...
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԵՎ ԻՋԱՎ ԼՌՈՒԹՅՈՒՆ,"
	Եվ իջավ լռություն, ու թաղվեց խավարում

	Իմ սիրտը.

	Սպասեցի քեզ երկար, սպասեցի քեզ երկար,

	Դու չեկար,

	Որոշեցի ինքս քեզ մոտ գալ,

	Որոշեցի ինքս քեզ մոտ գալ:

	Դու՝ երազ իմ անհաս, իմ ցնորք իրական,

	Որ հեռվում

	Ինձ կանչում ես քեզ մոտ,

	Ինձ կանչում ես քեզ մոտ

	Ու կորչում,

	Երբ քեզ մոտենում եմ,

	Հեռանում ես, փախչում ինձանից:

	Երբ քեզ կանչում եմ,

	Արձագանք ես տալիս:

	Ընկերներս կորան անցյալի մշուշում

	Ու չկան, ու չկան,

	Աղջիկներ գեղեցիկ, որոնք իմն են եղել,

	Էլ չկան, էլ չկան,

	Միայն դու մնացիր,

	Իմ ցնո՛րք իրական, 

	Միայն մենք մնացինք՝ 

	Իրար դեմ-հանդիման:

	Ու որքան մոտենում,

	Ես այնքան հեռանում եմ քեզնից,

	Դու՝ երազ իմ անհաս,

	Իմ ցնո՛րք իրական, 

	Փախչում ես ինձանից,

	Երբ քեզ մոտենում եմ,

	Հեռանում ես, փախչում ինձանից,

	Երբ քեզ կանչում եմ,

	Արձագանք ես տալիս:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ՓՈՔՐԻԿ ՆԱՎԱԿ,"
	Պատրաստեց փոքրիկ տղան

	Մի ճերմակ թղթե նավակ, 

	Իջեցրեց նավակը նա 

	Գետակի ալիքների վրա:

	 

	Իմ փոքրի՜կ նավակ, 

	Իմ փոքրի՜կ նավակ, 

	Կհասնե՞ս, արդյոք, 

	Ծովին կապուտակ:

	 

	Իմ փոքրի՜կ, փոքրի՜կ նավակ, 

	Ո՞ւր ես դու, ո՞ւր ես լողում, 

	Ո՞ւր են քեզ, ո՞ւր են տանում 

	Գետի ալիքները խելագար:

	 

	Իմ փոքրի՜կ նավակ, 

	Իմ փոքրի՜կ նավակ, 

	Կհասնե՞ս, արդյոք,

	Ծովին կապուտակ:

	 

	Արեգակն անհետացավ, 

	Ամպերի ետևն անցավ, 

	Երկնքից անձրև թափվեց, 

	Ու փոքրիկ գետակը վարարեց:

	 

	Իմ փոքրի՜կ նավակ, 

	Իմ փոքրի՜կ նավակ, 

	Դու հասա՞ր, արդյոք, 

	Ծովին կապուտակ:

	 

	Թե՞ ճանապարհին 

	Խորտակեց քամին, 

	Եվ դու քնեցիր 

	Գետի հատակին:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԹԱՓԱՌԱՇՐՋԻԿ,"
	Թափառաշրջի՛կ,

	Թափառաշրջի՛կ, եղբա՛յր իմ,

	Ո՞ւր են քեզ տանում 

	Հոգնած ոտքերդ:

	 

	Թե կան հեռուներ, 

	Հեռուները քո սրտում են,

	Եվ քո խելագար

	Խենթ հայացքում:

	 

	Եվ քո խելագար

	Երազներում,

	Եվ քո խելագար

	Խենթ երգերում:

	 

	Թափառաշրջի՛կ, 

	Ի՛նձ պարզիր քո ձեռքը 

	Ու տար ինձ քեզ հետ,

	Դու գտել ես ելքը,

	Ազատ է տիեզերքը բոլորի համար:

	 

	Ե՛վ մեծահարուստ արքաների,

	Ե՛վ մուրացկանի համար դժգույն,

	Ե՛վ գեղեցկագույն տիկինների,

	Ե՛վ թափառական ասպետների համար:

	 

	Ազատ է տիեզերքը բոլորի համար,

	Ազատ է մոլորակն այս բոլորի համար,

	Ազատ են ճամփաները բոլորի համար,

	Ազատ է այս աշխարհը բոլորի համար:

	 

	Երբ կդադարի պտտվելուց

	Այս հոգնած աշխարհը,

	Մոլորակը պատերազմների:

	 

	Երբ կդադարի

	Տոնական այս երթը,

	Երթը տոնական մեռյալների: 

	 

	Թափառաշրջի՛կ,

	Ի՛նձ պարզիր քո ձեռքը

	Ու տար ինձ քեզ հետ,

	Դու գտել ես ելքը:

	 

	Ազատ է տիեզերքը բոլորի համար,

	Ազատ է մոլորակն այս բոլորի համար,

	Ազատ են ճամփաները բոլորի համար,

	Ազատ է այս աշխարհը բոլորի համար:
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՔՈ ՃԱՄՓԱՆ,"
	Քո ճամփան՝ այնքան պարզ

	Ու այնքան արևոտ,

	Իմ ճամփան ծուռումուռ

	Ու մի քիչ անձրևոտ:

	 

	Դու սիրում ես նայել

	Օրվա բաց աչքերին,

	Ես միայն հավատում եմ

	Գիշերն աստղերին:

	 

	Դու ասում ես, որ գիշերը

	Հարկավոր է քնել,

	Ես գիշերն արթնանում

	Ու փնտրում եմ երգեր:

	 

	Եվ եթե իմ երգերը

	Քեզ դուր չեն գալիս,

	Թույլ տուր ինձ հեռանալ

	Քեզանից, սիրելի՛ս: 

	 

	Դու ասում ես, որ կյանքում

	Հարկավոր է պայքարել,

	Բայց ես, թանկագի՛նս,

	Հոգնել եմ, հոգնել: 

	 

	Դու ասում ես՝ սիրի՛ր

	Ու կյանքին հավատա՛, 

	Ես իմ մահն եմ փնտրում, 

	Տե՛ս՝ շուտով նա կգա: 

	 

	Դու ասում ես՝ սիրի՛ր

	Ու կազմի՛ր ընտանիք,

	Բայց ես չեմ ուզում դառնալ 

	Մի կնոջ խաղալիք:

	 

	Ես գիշերն, ինչպես միշտ,

	Հարբած տուն կդառնամ

	Ու շատ բարձր կերգեմ,

	Որ բոլորն արթնանան:

	 

	Եվ եթե իմ գործերը

	Ընկնեն դատարան,

	Ու եթե այնտեղից

	Ես մի օր տուն դառնամ:

	 

	Ես շատ բարձր կերգեմ,

	Որ բոլորն արթնանան,

	Երբ գիշերն, ինչպես միշտ,

	Գինովցած տուն դառնամ:

	 

	Դու ասում ես, որ ես կյանքը

	Դեռ չեմ հասկանում,

	Որ ես քիչ եմ ստանում,

	Որ ես շատ եմ ծախսում:

	 

	Ես գիտեմ, որ մարդիկ

	Մի անգամ են ապրում,

	Մի անգամ են սիրում,

	Մի անգամ են մեռնում:

	 

	Եվ եթե մեզ Աստված

	Թևեր չի ընծայել,

	Նաև չի պարտադրել

	Առնետի պես ապրել:

	 

	Եվ եթե այս տարի

	Ճոխ չանցավ Նոր տարին,

	Միևնույն է, գարնանը

	Կծաղկի իմ այգին:

	 
"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԿԻԹԱՌ,"
	Օրերը անցնում են՝ 

	Հրելով մեկմեկու, 

	Մեկ-մեկ՝ բութ, ձանձրալի, 

	Մեկ-մեկ՝ լուռ, ահարկու... 

	 

	Գաղտնիքներն իմ սրտի 

	Ես ո՞ւմ եմ պահ տալու, 

	Առանց քեզ աշխարհում 

	Ես ո՞նց եմ ապրելու:

	 

	Ա՜խ, կիթա՛ռ, կիթա՛ռ, սրտակի՛ց բարեկամ, 

	Ա՜խ, կիթա՛ռ, կիթա՛ռ, իմ ընկե՛ր իսկական:

	 

	Ո՞վ է քեզ հնարել 

	Հրաշքով մոգական՝ 

	Այդքան նուրբ ու քնքուշ 

	Ու այդքան տիրական:

	 

