Artist,Song,Lyrics
Eresunmek,Dus gam cxem,"
Դուրս գամ ծխեմ,ներվերս

4֊րդ հարկից քցեմ ինձ

Դուրս գամ ծխեմ,աչքերդ

Չեմ ուզում տենաս ինձ։


Դուրս գամ ծխեմ,երգերս

Ու հանգիստ փչեմ օդ

Դուրս գամ ծխեմ կիլոմետրերը

Որ չգաք էլ ինձ մոտ։


Սիրում ես անիմաստ ականջիս մեջ խոսելը

Բայց րոպեներ եմ հաշվում ստեղից գնամ։

Ինձ չի հետաքրքրում՝ով էր Ձեր պոդյեզդում

Խմում ,ավելի լավա մի զանգի էս համարին

Իմ գլուխը պայթումա,սիգարետ տուր,դուրս գամ ծխեմ

Հետս գալի՞ս ես

Մեկ էլ պատմիր խի՞ էիր էրեգ էդքան ցխվել

Ես ունեմ պրոբլեմ ու էդ ես եմ

Մի հատ զաժիգալկեդ տուր(հու)

Հա ի՞նչ էի ասում,հա ունեմ պրոբլեմ

Չգիտեմ՝ոնց քցեմ տեղ

Սառնարանի մեջ խմելու բանա մնացել՞

Դու ճիշտ լսում ես,բայց սխալ ես հասկացել

Աաաա էդ դուռը փակի՛ր

Մի՛ շարունակիր հետս դիալոգ

Ես սիրում եմ,բայց ոչ էս պահին

Հիմա ինչի՞ համար ես եկել հասել ստեղ։

Ինձ մի ասա,ես գիտեմ խի եմ սենց

Ուրա՞ սիգարետը...

Եղելա՞,որ էրեգվա օրը դեմդա զարթնելիս

Երբ սաղ կրվել ես ու գոռում են застрелись

Դու գիտես՝ովա գնում,ովա գալիս

Դու չես տեսել,բայց գիտես՝ում հետ էր զասվելիս...

Սուկան եղելա չէ,որ ասեն

Ճիշտը բայց սուտա

Քեզ դրել են սիստեմայի վրա

Ու սուլթան չեն քո համար

Լութչե վառի սիգարետդ

Թե չէ վառվեց ուղեղդ։

Վատ եք սովորել,բայց անգրագետ չեք...
"
Misho,Txur Mardik,"
Իմ մարմինը հանի դուս

Ազգս խառը կեսը կույս

Կեսը մենք ենք, կեսը բույս

Սաղի մոտ կա մի հատ հույս

Համ մինուս ա, համ էլ պլյուս

Ես պալիտ եմ արէ սուս

Ինձ հերիք ա, բարի լույս։


Հույսերի չունեմ կարիք

Դառա խոսքերի բառիկ

Ինքս ինձ ունեմ տալիք

Համ ձյաձյա եմ, համ բալիկ

Քաղաք լիքը համբալիկ

Որ բռնես, անես ժարիտ

Ես բողոք չի, պռոստը հույս էր։


Սաղս ման ենք գալի ճիշտ, բայց սխալ

Ասում եմ, մեկ ա ման ենք գալու միշտ

Ճանապարհի եզրերին դիմանում ա կեխտոտ ձյունը

Համ անցյալն ա մեզ գերի, համ թերի համբերությունը


Ինչ ուրախ եղանակ ա, մարդիկ տխուր

Բայց ինչ ուրախ եղանակ ա, մարդիկ տխուր

Բայց ինչ ուրախ եղանակ ա, մարդիկ տխուր

Ինչ հաճելի եղանակ ա, մարդիկ տխուր
"
CKK,Intempo,"
[Songtext zu ""Intempo""]


[Hook x2]

Es ist Okay

Nein wir sind gar nicht Intempo

[?] Baby i dont wanna let go

[?] Déjà-vu

Sag wer du bist

Sag was du fühlst


[Part 1]

Fuck Marry Kill jede Nacht

Weißer Schatten, weißer Tanz

Es ist vorbei

Die ganze Zeit

Hör auf zu lügen ich kann es sehen

All das ist so bullshit, sag mir wo du hinwillst


[Hook x2]

Es ist Okay

Nein wir sind gar nicht Intempo

[?] Baby i dont wanna let go

[?] Déjà-vu

Sag wer du bist

Sag was du fühlst"
Mente,Un Giro,"
[Testo di ""Un Giro"" ft. Jake La Motta, Misho & Stufé]


[Intro]

Quest'è l'hip hop? Col cazzo




[Strofa 1: Fetz]

Questa è guerra, atterra, sottoposto a un trash continuo

Forze sul fronte, lati opposti ormai ridotti allo stremo

Vite all'estremo sintonizzate su frequenze buffate

(Coordinate) Fili dal cielo mossi da mani sbagliate

È parte del conflitto che esplode, è l'epicentro dell'inferno

Giuda fatto uomo che ci porta nell'Ade

Qui non si chiede (Si uccide), qui non c'è tregua (Si esplode)

Un giro a testa per restare in piedi in mezzo a tеste falciate

Lasciate in mano ad un cеcchino che mira e che spara

Fuoco incrociato per chi spera contro questa congiura

La guerra è vita-pane quando l'Eden si incrina

Volta la schiena, poi si nasconde per colpirci alla gola

Niente di buono per chi è preda, chi spreca, chi gioca

Ultimo giro dei dannati e noi elevati in yoga

Potenze uguali in RAM mega

Difensori delle porte di Cassandra in questo scontro a defcon giga




[Ritornello: Jake La Motta]

Un giro, voglio solo un giro, un giro a testa

Un giro, voglio vedere di voi chi è che resta

Un giro, voglio solo un giro, un giro a testa

Un giro, vediamo chi resta
"
Misho,Saghse Unenq,"
Ժամանակը ձիգ բռնի ոնց պառաշյուտը

Ընգնում ենք մեկա քիչ լարվի, բայց հլը շուտա

Կամ էլ խույեվո տենց մեկը նոր ընգավ

Երբ քաղաքը իրա ձեռը պառաշյուտը կտրվավ


Ծանրությունա երևի, վերևից կանչեց

Ասումա ձյաձյը որը դեմս էր, դոլլար մանրեց

Յաշիկը գազ տվեց, գնաց․․․․․․․․․․․․

Ով հետո ասեց, որ ճանաչում էր թրաշը գծած


Ձյաձյը պարզվումա քահանա, մահանա ման էկող դառած

Գոյատրևում ենք ամեն մեկս մի բանի տարած

Հևում ենք միշտէ, տեղ ունենք ու շտեղ օզումնք Ղարաբաղի թթի արաղից դրդված՝ ջրիկանում ենք


Միառժամանակ խոսում ենք ծանր

Որը սաղս էլ ունենք էտ 2 դերը կա

Մրցակցություն կոչեցյալը ինչքանէ ցույց տանք Յանի բոլորինէ լավը ցանկանում ենք․․․


Խույ Ստէ վիճելիա ապէ սաղս էլ ունենք անցյալ Այսինքն վաղը՝ էսօրվանը, ապագան դարձյալ

Մեր հետ խաղումա, որը ըստ իր տրամադրության Մեկէ դաղումա միտէ սաղսէ ունենք մատյան


Ուր գրառումա ինչ որ մեկը, որ ասում են կյանք

Ես դրա հետ եմ, եթե մեկի համար էտէ տանք

Ես իրա հետ եմ հիմա, սաղսէ ընտրում ենք մեզ

Դու համաձայն ես նախապես ապրես ասում եմ․․․․․․
"
CKK,Freddy vs. Jason,"
[Songtext zu „Freddy vs. Jason“]


[Intro]

(Let's go)


[Hook]

Ey, Freddy versus Jason, Ho, Super-Soaker-Libido

Ausm Süden, Gigolo, ey

Und es macht bang, wenn du merkst, dass er ein Killer ist

Und du rennst weg, wenn du merkst, dass ich ein'n Thriller will, ey (Yeah)


[Part]

Underground, finest forever (Ey)

Ich hoffe, warum geht's mir nicht besser? ([?])

Ich bin allein mit Mama, keiner kann mich ändern, ey

Manchmal hab' ich Blackouts, kann mich an nichts mehr erinnern, hah, yeah, yeah, yeah (Let's go)

Schlechte Tage, warum regnet es hier immer? (Yeah)

Kein Crystal Lake, meine Wut wird immer schlimmer (Hah)

Heute [?]-Boy, damals für euch alle Spinner (Hah)

Ich bin der Canon-Pico, für mich seid ihr Filler (Let's go)


[Hook]

Ey, Freddy versus Jason, Hoe, Super-Soaker-Libido

Ausm Süden, Gigolo, ey

Und es macht bang, wenn du merkst, dass er ein Killer ist

Und du rennst weg, wenn du merkst, dass ich ein'n Thriller will, ey Ey, Freddy versus Jason, Hoe, Super-Soaker-Libido

Ausm Süden, Gigolo, ey

Und es macht bang, wenn du merkst, dass er ein Killer ist

Und du rennst weg, wenn du merkst, dass ich ein'n Thriller will, ey"
"Majurakk, misho, mariel gesualdi",Miss You,"
Been wanting to call you

But I don’t let myself

Don’t know if you’ll pick up

So I never reach out


I just can’t help it

I just can’t stop

Thinking about you, missing you too

I really hope you


I hope you miss me like I miss you

I hope you miss me like I think you do

Secretly hope you post pictures, make me jealous I’m not with you

I hope you miss me like I miss you, oh I do


I, I miss you

I, I, I miss you babe

I, I miss you

I, I, I miss you x2


I know it’s a long shot

And I hate to ask

But do I cross your mind

When you think of the past?


I just can’t help it

I just can’t stop

Thinking about you, missing you too

I really hope you
"
Misho,Mets Tema,"
[Verse 1: Misho]

Ստե անձրևը կարա չոր ըլնի

Լռությունը՝ հառաչող ըլնի

Ընգերդ՝ ոչ մի բան

Թշնամին կարա պաչող ըլնի

Իսկ ով ըլնի

Ով ավել ուզի նալոգ

Կարա նենց ըլնի ցավոտ

Հոկտեմբերի 27...

Վոշըմ գոհ ելի

Մեծացել եմ՝ հեռավոր

Մասիվներս՝ մթավոր

Մի թաուր ու մտավոր

Ոնց որ տոն ըլնի

Նայած՝ ով ըլնի քավոր

Հորինած՝ մի թագավոր

Իմ վիճակը տաք ա որ

Չմրսող ըլնի

Ստե, ասել եմ՝ ծայրահեղ

Մտածելակերպ ա նեղ

Ու հարուստ կերպարներ

Շենքերից՝ անտառներ

Կրթված անկարգներ

Կամ սիրված տականքներ

Թո իմ հետ դե հագնեն

Մեկը՝ զոհ ըլնի

Ստե ինձ հարազատ ա գույնը

Բայց ամեն օրէ նույնն ա

Կա՛մ լոքշ, կամէ թույն ա

Չգիդես դաժե ումն ա

Երբ ինչ-որ մեկը տունն ա

Վրա-վրա իր բուռն ա պահում

Բայց նայի ստե՝ նիհար գիտնական

Բանաստեղծ, նկարիչ կամէ մտավորական՝ լիքը

Ճարպազոհ ոստիկան ու նախարար, գեներալ կամ բարերար

Դու բռնի՛ միտքը

Նույն ինքը

Քաղաք ա էնքան փոքր

Տվել ա մեծ մարդիկ

Ես նստել եմ իրա գոգը

Ես էլ եմ մտահոգ

Բա Սենչոն ա մյուս կարծիքը

Պռոստը սևացնում ա թոքը հիմա:
"
Misho,Tsar,"
Մենք ծանոթ ենք վաղուց

Քեզ մանկուց նկատել էի

Իմ սիրած փողոցում

Ագռավներն է պատել էին վերնամասդ

Հասակով արդեն մեծ էիր էն վախտ

Ես էի վռազ ու չանցած՝ էն ժամանակի դասը

Դու կանգնած ես հպարտ

Կապկպված ես՝ անկապ, չսազող, նամռոտ լարերով

Դանակով փորագրած, քեզ սիրում եմ, գրած՝ լատինա տառերով

Հիմա՝ ո՞վ կարևորա անտեսվածա

Դու կհասկանաս էլի նոր ենք սկսե

Պլյուս խորացա, ինչքա՞ն սենց փուլեր ես տեսե

Եթե դու հիմա խոսայիր՝ կլսեի քո տեսածը

Ոնց որ վնասված ես

Գիժ քամին գոռալով, էս քաղաքին հիշացրեց պետքա թափ տալ

Ես եկել եմ մոտդ ինձ շողքդա պետք

Լավէ զրուցում ենք պետքա մոտդ շատ գամ, շատ լավ


(Հա)

Ես ունեմ՝ մի կյանք, դու՝ էրկուսը

Որ պատկերացնենք՝ բազմաձևա ճամփեդ

Մենակ էս՝ անտակտ ավտոբուսը, թող անցնի

Որ իրար լսելով շարունակենք

Իսկ քո հաջորդ կյանքում, եթե չեղար վառելիք կարողա՝ թուղթ լինես

Որի վրա բառերից կկառուցվի՝ կամ երգ, որ կսնի մեզ կամէ հրաման գրվի, որ կսրի մեզ

Կարողա դառնաս աթոռ

Որի վրա պապ ու թոռ ա

Կամէ Մայր աթոռ կողի դրած լիքը փողա

Կամ՝ կարողա տպելու են հենց փող

Լուծելու ես պռոբլեմներ, կամէ ստեղծող

Նայած ո՞վա տիրելու քեզ Կարողա թզբեխ լինես դողացող, բիձու ձեռներում, որպես մի դեղ

Գիտե՞ս կարողա մի դուռ, որ բացում են ու մտնում կյանքի մեջ

Կամ՝ կարողա և դագաղ, որպես վերջ

Մի քիչ խորացումը շատ էր, ժամանակը քիչ

Մեր զրուցը նկարումա քսելով թանաքը՝ գրիչս

Որը հետո ինձ կհարցնի՝ բա հետո ին՞չ

Եսէ ման եմ գալու մյուս թեման, որը դրդիչա

Հիմա՝ երակներս ուռէ, նմանվէ՝ ճյուղերիդ

Տենց լինում ա, երբ՝ քցվում եմ բառի լիճը

Ու թեկուզ մեր զրուցը տխուրոտ էր մի քիչ

Գեղեցիկը, նույնիսկ մի տեսակ հուզիչա (Չէ՞)"
Misho,Esor,"
Aruns kaputa, aristokrat chem

Tanaqa u muga es hipokrat chem

Xapel em et suta chnayac vat chen

Bujelem hmuta kasen gan u pachen

Heriqa ov buta iranc ktam dzez

Andzrev u karkuta daxum mazers

Isk ese nenc chor u tencel aseles

Darelem kanchox, hangist du haseles

Mi vaxt amachox hima beranbac

Organizm em achox kutem liqy harc

Korcrelem havats heshtutyamb

Du unes bayc ha vates

Eshutyamb korcnumen inch tanga

Geshutyamb gravumen erb ban ka

Eutyamb mahanumenq nenc dandax

Veracanq hmarya liqy dagax mez spasuma avax



Inchy vonc karеvory es orna

Ancnumen orer u husanq vaxy norna

Arac ka sxal u chishtеl arelenq

Der vaxy chka ancyalnel varelenq, vare

Inchy vonc karevory es orna

Ancnumen orer u husanq vaxy norna

Arac ka sxal u chishtel arelenq

Der vaxy chka ancyalnel varelenq, vare
"
Misho,Hangistem Tanum,"
Սկսել եմ լիքը բան հանգիստ

Ժպիտով տանել

Ինչքան էլ թեման կարա լինի տհաճ ու ծանր

Համ էլ կյանքա պտի սաղ տենաս

Ու անպայման չի մեկին մեղադրես էտ կարաս

Բայց ես սկսա հանգիստ տանել

Էն ամեն ինչը ինչ կարար սովորաբար ինձ հունից հաներ

Ու հասկացա, որ էնքան էլ երկար չի ժամանակը


Սաղին ասես հանգիստ' ընդհակառակը

Էտ առիթա մի տէ էտքան էլ վատա

Երբ որ դեմինդ անհավատա

Ոչ մի հավատ ո'չ իրան, ո'չ քեզ, ո'չ ինձ

Հույսը դրածա գլորած բոշկին

Իսկ ես հանգիստ եմ տանում

Ամեն օր կուտակվող ավելացվող բեռը թեթեվ եմ պահում

Ես ինձ կողքից եմ նայում, որ մնամ մնայուն

Ես անհանգիստ եմ բա հոգիս մնա ու՞մ

Հլը շատա հում մարդ արարածը

Գնահատումա մենակ պարզ արածը

Գնահատվումա, գնա հատվում են մի տէ ճանապարհդ ուզածդ

Ես հանգիստ եմ տանում դրած մեջքիս

Վերջի էրկու տարում ճղվա մեջից

Հիմա տենում եք իմ ներսը նայի Քանի մարմինս էրկու կեսա

"
Misho,Jamanaky,"
Որ ժամանակը թանկա քիչ ենք հասկանում մենք

Մենակ որ խթան գա, պատսպառվում ենք

Մեկա պտի ման գանք, մարդա մեր մայթով

Շեղվելը տուգանքա, բուն իմաստով բառի

Մեջս թո լույս վառի' էն ում մեջ համ կա

Էն ով ինձ կարա ասի' հերիքա կանգ առ

Աղաչում եմ մարդ եմ, էտ վախը չարժի լինի

Բոլորից անկախ եմ ու ձախս աջ չի լինի

Ես դասավորված եմ գրքերի նման

Դու կարաս հերթով կարդաս ինձ' գրադարան

Կտենաս որ եսէ պարզ եմ' երբ պարզ են լսում ինձ

Մեջդ ինչ որ բանա փայլում' տենաս ումից

Կփորձեն հանեն հունից, դու դրանից ինձ

Չեմ ուզում սխալ լինեմ էլ հեռու ինձանից լինի

Չհիասթափվեմ քեզանից, նույննէ դու

Իրար համար, կամ ինադու


Ես վռազ չեմ, բայց ժամանակը թարսա մեզ

ՈՒ ես վնաս չեմ, եթե ինձ վնաս չես

Տես, որ ես վռազ չեմ, բայց ժամանակը թարսա մեզ

ՈՒ ես վնաս չեմ, եթե ինձ վնաս չես


Եթե դու մնաս, չես կարա հետ եթաս

Իսկ մեջս ձևա բան փոխես' ինչը շատա խիստ

Ճանաչենք իրար մի քանի հարցերով զուտ

Պարզ ու հեշտ ու վոչմիբան սուտ

Որ դու ուժեղ ես տենում եմ

Հա մեր նմանները դժվար, բայց ներում են

Հա ես դերասան եմ, բեմում եմ

Ով եթե խաղում' շատ անկեղծ դերումա

Նավս լողում, ուր բերումա

Պատճառա պետք ու եթե կա համբերումա

ՈՒ դու ես հիմա մի պատճառ ով գերումա

Իչքան կարամ չզգամ, էտելա' քերումա

Դու մի տեսակ գտար

Էն եսիմ ուրդե թաղած, քար արդեն դառած' սիրտս

Դու քո նավով տար մի տե

Հանկարծ մարդ ես, չմնա գիրկս
"
Misho,Korela Kareli,"
[Verse 1]

Կորելա կարելի․․․ Էս վերջերս զգացի

Ուզում եմ սաղ քարանա մի պահ ցիրկը

Որի մեջ ծնվանք ու լռվանք մի տարիքա գալի Անցյալից ապագա պետքա ձիգ ոտով քայլդ դրվի

Երբ ազդումա ներկան էնքան չի

Համաձայն քեզ ձրի բաց թողի

Իրա հետ տարաձայնություններից հագած ենք ոռի Փոխելու կա այսինքն էս ամեն ինչից նախ․․․․․․

Կորելա կարելի․․․ շողուլի գամ մի հատ

Նախընտրել եմ ճամփա, որն անցած չի ու խառնա Կորելա կարելի․․․խաղացել ես բիլլիարդ

Որ ցրում ես դեմից, հիմա իմնա էտ խաղնա




[Hook։ Misho, Sash]

Կորելա կարելի․․․ եսի՞մ ուր, հենց հիմա հա

Կորելա կարելի․․․ մոխրագույն կադրերից էս

Կորելա կարելի․․․ էնքան հարց կա հիմար

Կորելա կարելի․․․ ենթադրում եմ տեղիցա

Կորելա կարելի․․․ եսի՞մ ուր, հենց հիմա հա

Կորելա կարելի․․․ մոխրագույն կադրերից էս

Կորելա կարելի․․․ էնքան հարց կա հիմար

Կորելա կարելի․․․ որ ենթադրում եմ տեղիցա

Կորելա կարելի․․․ եսի՞մ ուր, հենց հիմա հա

Կորելա կարելի․․․ մոխրագույն կադրերից էս

Կորելա կարելի․․․ էնքան հարց կա հիմար

Կորելա կարելի․․․ որ ենթադրում եմ տեղիցա
"
Cris,Vibe,"
[Hook]:


Das ist unser Vibe

Sie kommt heute Nacht vorbei, glaub mir, und sie bleibt

Die Stadt die niemals schläft

Bitte Gott, schenk mir Zeit

598 im Herzen und 598 im Geist



Das ist unser Vibe


[Part 1]:


Hab mein Bruder schon im Knast gesehen, da war ich 11

Doch wie Oma einmal sagte:""die Zeit heilt die Wunde wie von selbst""

Doch nicht wie Prison Break, das Leben fickt ein härter

Denn am Ende bleibt der Endgegner einfach nur man selber

Und glaub mir nach 12, sind die Dämonen dann wach

Mach die Augen zu doch schalte niemals den Fernseher nicht ab

Die Stimmen im Kopf so laut, glaub, dass der Rhythm of the Night

Alles schon vorbei, wenn die Sonne wieder scheint

Doch unser Vibe ist anders, ja die Stadt kennt keine Gnade

Die Gesichter der Menschen sind meistens nur eine Fassade

Doch alles gut, wir wissen wer die Echten sind

Für die Jungs hinter mir gebe ich sofort mein letztes Hemd


[Hook]:
"
Misho,Menq,"
Մենք ամեն մեկս ունենք զույգ աչքեր, բայց տարբեր հայացք

Մենք շարժվում ենք ու քայլում, բայց տարբեր ընթացք կա

Լիքը հարց կա, մեր ուզածը նենց ա տարբեր, որ նախանձ են

Հա ուզում են քոնը քանդեն

Քանի դեր, սաղս է խաղում ենք

Մեկ ա քանի դեռ կյանքը մեր աղում ենք

Օր ու տարիներ, մենք իրար դաղում ենք

Չար ու բարիներ, դինջը կատաղում ա։

Մեզինց ով ա օրինակ կամ էլ ով էր մեծ

Հետո խորհուրդ ա թե դանակ, որ խրում էր հեսա վրա֊վրա

Ես հա սրան֊նրան հավատացի

Բայց ժամկետը անցավ, ես էլ պահը զգացի

Հետո գա ու լացի, ինչ անիմաստ ա

Փորձում ես օգնես, նա փորձում ա վնաս տա

Դա փաստ ա

Մենք ուշ ենք սիրում հասկանալ

Պատասխանը թո գան ու ստանան


Մենք համարում ենք պետք ա պարզ ըլնենք

Բայց էնքան բարդ ա անցնում

Խանգարում ա, քչերին ա հանգստացնում

Մենք փորձում ենք, երբ միանգամից չի ստացվում

Կորցնում ենք հույսը, հազվադեպ ենք բացվում

Մենք ագահ ենք, ուզելուց ենքան ենք ուզում

Նախագահ ենք ամեն մեկս համարում մեզ

Վազում դեպի ուր, ոչ էլ որոշում ենք

Վերջը միշտ անդուր, սաղ ճամփին հիշում, փոշմանում ենք

Մենք ուրվական ենք պաղկված իրարից

Բավական ենք հեռացե, նայում ենք հեռվից

Մեկ էլ պահ ենք ման գալի, որ բողոքենք

Մենք մեզնից ենք գոհ, սիրում ենք մեզ նորոգենք

Դավադրում ենք, ինչ որ մի Աստծու

Բայց մեզ մենակ մի բան, մեղքն ա միացնում

Հիացնում են նրանք, ով գտել ա իրան

Մենք բոլորս էակ ենք առանց պատվիրան"
Mi Qani Hogi,Lav Jamanak,"
[Տուն: Felo]

...

Թարմացրու քեզ դու իմացի բախտը քո կողքինա

Էղիր բարի սիրիր չարին որ նա էլ բարիանա

...


[Կրկներգ: Misho, 
Roland
]

Ամեն ինչից դժգոհում ես

Պակաս լավ ժամանակ

Արի տամ են ինչ ուզում ես

Այսինքն լավ ժամանակ

Կարեվորը ցանկանում ես

Որ լինի լավ ճամանակ

Ցանկացար ուրեմն ունես

Ամենալավ ժամանակ

Ամեն ինչից դժգոհում ես

Պակաս լավ ժամանակ

Արի տամ են ինչ ուզում ես

Այսինքն լավ ժամանակ

Կարեվորը ցանկանում ես

Որ լինի լավ ճամանակ

Ցանկացար ուրեմն ունես

Ամենալավ ժամանակ


[Տուն 2: Roland]

Մի օր ես արթնացա հասկացա որ պիտի լինեմ բարի

Անկախ ամեն ինչից պետք է սիրեմ տեքուզ չարին

Ու բոլորը ասացին ինչ էզավ ես խելառին

Հիմա նստած եմ քարին սպասում եմ յարիիս

Եթե քոնը շատա կեսը տուր դիմացինին

Կանգնածենք ես ու դու խնդրում եմ դիմացինիս

Պարտքով սեր չկա դու հավատա երկնքում մեր բարիի

Ու հավատա որ կգա ժամանակ երբ բարին կհաղթի չարին
"
Misho,Cinik,"
Ցինիկ եմ

Ա ա ա ա ա ա ա ա

Ցինիկ եմ

Ա ա ա ա ա ա ա ա

Ցինիկ եմ

Ա ա ա ա ա ա ա ա

Ցինիկ եմ


Երբ որ հարցնում եմ ո՞նց ես

Դու ավելի լավա փորձես տալ դրական պատասխան, թեկուզ սուտ

Բարի օր ձեզ

Էլի ձենը գցելա մի մարդ, ով տանել չի կարոխանում սուք

Չգիտեմ ոնց դուք, բայց ես բոլորի նման չեմ

Սաղ կասեն նույնը, բայց բոլորովին այն չեն

Ինչ կուզենաին իրանցից հարուցել

Գրական բառերով, անբնական մատուցեմ

Կառուցեմ նենց տուն, որդէ ոչէ պատալոկ կա

Չբարձրանամ, իմ մոտ կոխելուա լոմկա

Մոտ գա նա, ով ջոգելա մեջը բան կա

Հորդանան ոչ էղել եմ, էլի անկապ հանգա

Թարսի պեսէ ես չեմ հանգում

Թանկա, ով էժանա, ես չեմ գարգում

Լուրջ բաներից իմ մոտ կարողա ծիծաղ գա

Շատ նեղացող, բնականա քիչ նման կա


Ցինիկ եմ

Ա ա ա ա ա ա ա ա

Ցինիկ եմ

Լիքը բան ծաղրելով, բոլորին դատելով

Ես ցինիկ եմ

Ա ա ա ա ա ա ա ա

Ցինիկ եմ

Լիքը բան թարգելով, ինքս ինձ դատելով

Ես ցինիկ եմ

Ա ա ա ա ա ա ա ա

Ցինիկ եմ

Լիքը բան ծաղրելով, բոլորին դատելով

Ես ցինիկ եմ

Ա ա ա ա ա ա ա ա

Ցինիկ եմ

Լիքը բան թարգելով, ինքս ինձ ծաղրելով

Ես ցինիկ եմ
"
Misho,Shog,"
Անտանելի շոգա ․․․

Հա․․․


Իմ դրոշին չի ով ում ինչնա, ես չունեմ սովորություն

Հիշեմ մաշնի համարները, իմ մոտ չկա էդ թուլությունը

Վաշէ քիչ կա

Ունեմ վատ հիշողություն, մենակ ինչը կարևորա

Ոբշմ լավ հիշողությունա

Ձեռս գրիչ կա, ես էլի մի տէ նստած

Էլի տետրը տանջում եմ, ինձ ասումա հանգստաց

Հոգու ճիչնա, հելա օդ ու տենց լռվա

Եթե էլ ինձ չդզեմ նշանակումա, որ կրվա։

Էս քաղաքը դեղատան ու լոմբարդների քաղաքա

Լիքը առիթներով ջան, լիքը առիթներով քաքա

Վերևները դավաճան, ես ասում եմ հակառակը

Ոշմ քելեք Դիլիջան, ընդէ հովա, ստեղէ տաքա

Այսինքն ՝ շոգա

Շոգա, շոգա, շոգա

Էլ չեմ դիմանում շոգա

Դրանիցէ շոկա․․․


Տակս ասֆալտնա հեղուկ, քրտնածա աղավնին

Նրանիցա, որ արևը միացրելա դալնին

Վերև չես կարում նայես, գլուխդ կախ ու քայլի

Աչքերիդ մեջ մթություն գոնե ճակատդ փայլի։

Խցանում, բթանում, քարավանա մաշնեքի

Ընդէ արանքից հելնող եմ հենց դեմինս աջ թեքի

Ես իմ շողքը, որ գտնեմ լողացող էս նկարում

Ստայանշիկը կասի տեղը, որդե չիէ նկարում։

Սաղ քայլում են մունաթով, լինի հովը, լինի շոգ

Իսկ մարդիկ կաբրիալետ են, որոշները կռիշով

Որոշներին էսքան բառը ոնց որ շատա ու ճնշող

Մոռացա ասեմ

Էս գործը արին Նարը ու Միշոն

Մեկա շոգա, անտանելի շոգա, չեմ դիմանում շոգա

Դրանիցէ շոկա
"
Misho,Orinakeli,"
Բեր, բեր, բեր

Զգույշ, զգույշ, կարմիր լույսա

Սենչոնա`, բիթը


Պասպըռտս Հայաստան Հանրապետություննա

Ծնվելու նոր միչեվ խոր ծերություննա մնալու

Պռոստը մի քանի հատ գումարվի կարա պետք կգա ոնց թե

Դուռտա բաց դե, կարողա էն իմ պատվիրած մուսաներն են դրանց բեր

Էտ հլը հարցա էն էրեկվա բերած ինչն էր չոր դե լվացքը

Խի չհանենք որ, օրինակելի մի ալբոմ 9 հատէ վրիցէ հետո

Ով կարա, մենք ով,  օրինակելի ում ում ունեք էլ

Ձեռով ոչ թե պինցետով հանի փուշդ միջի

Կուշտա փորը ներսը դատարկա իրա ժամը վուշա

Քացով էլ լինի գնա դուռը բաց իրան լաայն  բաց

Սաղս էլ մարդ ենք էտ հլը հարցա կենդանական ենք մեկ-մեկ էլ բարձր

Ոռնալով արդեն չեն էլ բերում տեղը որնա

Ով հիմա ռեպը մի յան դի մարդկության հետ եմ

Սովորելով մեկա անգրագետ են մնում

Դե բա էտ են կոչում ինքնաճանաչում

Ինքնասիրություննա ձեր վրա հաչում չեք է ամաչում

Ձեր տնգած բույսը փդում, չի էլ կանաչում

Ովա ձեզ պաչում պուտանկից բացի, գնա քեզ հեքիաթնա կանչում

Օրինակ ինձ ցույց տու բնօրինակդ ակնհայտա դու հորինած ես

Դատարկություն ես շատ անիմաստա կյանքդ, էլ ում ես պետք դու


Չկան, չկան, չկան կամ էլ քիչ են, դե համէ ինչ են տալի

Չտան, չտան, չտան ուրիշին են ասելու օրինակելի

Չկան, չկան, չկան կամ էլ քիչ են, դե համէ ինչ են տալի

Չտան, չտան, չտան ուրիշին են ասելու օրինակելի
"
